model	model_structure	hierarchy	k_depth	family	brms_family	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.3955130850233	0.045548243016417	0.264169780700038	0.715621395012309	0.0971731448763251	0.0945229681978799	0.0503533568904594
PFT_sp_k0_lognormal	PFT_sp_k0	PFT_sp	k0	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	1.37644862572438	0.0646127023153288	0.26974010833061	0.606869572693489	0.0909893992932862	0.0901060070671378	0.049469964664311
PFT_sp_k0_student	PFT_sp_k0	PFT_sp	k0	student	student;student	befa.st	1132	1.44106132803971	2.00496588086183	-0.563904552822116	0.665270584154159	0.113991976865999	0.0671378091872792	0.0644876325088339	0.0203180212014134
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.413909062283827	0.028307546719797	0.225618428590585	0.711278461572614	0.0725190839694656	0.0706106870229008	0.0305343511450382
PFT_sp_k0_lognormal	PFT_sp_k0	PFT_sp	k0	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	0.400532542335823	0.0416840666678008	0.230756418920079	0.675943730133988	0.0763358778625954	0.0744274809160305	0.0419847328244275
PFT_sp_k0_student	PFT_sp_k0	PFT_sp	k0	student	student;student	befr.st	524	0.442216609003624	1.01312649321327	-0.570909884209649	0.632665377482688	0.192616025218736	0.0477099236641221	0.0438931297709924	0.0190839694656489
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.3950499381313	0.046011389908408	0.263499235308565	0.712026630510133	0.0945229681978799	0.092756183745583	0.0450530035335689
PFT_sp_k1_lognormal	PFT_sp_k1	PFT_sp	k1	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	1.37657786916094	0.0644834588787752	0.268440592078611	0.602585358548759	0.0936395759717314	0.0901060070671378	0.0503533568904594
PFT_sp_k1_student	PFT_sp_k1	PFT_sp	k1	student	student;student	befa.st	1132	1.44106132803971	2.00815977118987	-0.567098443150158	0.669303294036545	0.115172894964723	0.0697879858657244	0.0680212014134276	0.019434628975265
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.413989250135368	0.0282273588682563	0.223588202276673	0.70620574463728	0.066793893129771	0.0648854961832061	0.0362595419847328
PFT_sp_k1_lognormal	PFT_sp_k1	PFT_sp	k1	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	0.400804603547637	0.0414120054559868	0.230633234554884	0.674314916549548	0.0744274809160305	0.0725190839694656	0.0438931297709924
PFT_sp_k1_student	PFT_sp_k1	PFT_sp	k1	student	student;student	befr.st	524	0.442216609003624	1.00752076201293	-0.565304153009308	0.629128511548953	0.192828727507513	0.0534351145038168	0.0477099236641221	0.0190839694656489
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.39463320785236	0.0464281201873538	0.261985943365544	0.707968381865362	0.0936395759717314	0.0936395759717314	0.0450530035335689
PFT_sp_k2_lognormal	PFT_sp_k2	PFT_sp	k2	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	1.37656295529234	0.0644983727473754	0.267268729196832	0.601622443982379	0.0909893992932862	0.0901060070671378	0.0485865724381625
PFT_sp_k2_student	PFT_sp_k2	PFT_sp	k2	student	student;student	befa.st	1132	1.44106132803971	2.00623269009983	-0.565171362060118	0.667655732836679	0.115749870291568	0.0777385159010601	0.0742049469964664	0.0176678445229682
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.413415162907591	0.0288014460960328	0.225911650766103	0.707214502893971	0.0706106870229008	0.066793893129771	0.0400763358778626
PFT_sp_k2_lognormal	PFT_sp_k2	PFT_sp	k2	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	0.400964574273331	0.0412520347302934	0.232338905721266	0.671632589788951	0.0725190839694656	0.0687022900763359	0.0419847328244275
PFT_sp_k2_student	PFT_sp_k2	PFT_sp	k2	student	student;student	befr.st	524	0.442216609003624	1.00987901645106	-0.56766240744744	0.630288485518421	0.193583237838041	0.0458015267175573	0.0438931297709924	0.0190839694656489
sp_k0_gamma	sp_k0	sp	k0	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.3960295764053	0.0450317516344156	0.26353162995476	0.717323378154961	0.0971731448763251	0.0945229681978799	0.0485865724381625
sp_k0_lognormal	sp_k0	sp	k0	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	2.01379743970039	-0.572736111660676	0.671079678031254	0.126754390187643	0.0759717314487632	0.068904593639576	0.019434628975265
sp_k0_student	sp_k0	sp	k0	student	student;student	befa.st	1132	1.44106132803971	2.01493041329934	-0.573869085259624	0.671247546908061	0.114694454234543	0.0724381625441696	0.068904593639576	0.0159010600706714
sp_k0_gamma	sp_k0	sp	k0	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.412776075840833	0.029440533162791	0.225918397965395	0.709782445131554	0.066793893129771	0.0629770992366412	0.0362595419847328
sp_k0_lognormal	sp_k0	sp	k0	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	1.01715360963448	-0.574937000630856	0.636978593489537	0.212554618301886	0.0477099236641221	0.0477099236641221	0.0190839694656489
sp_k0_student	sp_k0	sp	k0	student	student;student	befr.st	524	0.442216609003624	1.01630731912849	-0.574090710124871	0.636341697629866	0.187311167823388	0.0458015267175573	0.0458015267175573	0.0190839694656489
sp_k1_gamma	sp_k1	sp	k1	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.39486480578413	0.0461965222555832	0.26350785844964	0.711899277676433	0.0945229681978799	0.0945229681978799	0.0503533568904594
sp_k1_lognormal	sp_k1	sp	k1	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	2.01275969734548	-0.571698369305762	0.669984154274362	0.128527600890289	0.0680212014134276	0.0662544169611307	0.0159010600706714
sp_k1_student	sp_k1	sp	k1	student	student;student	befa.st	1132	1.44106132803971	2.01750556145771	-0.576444233418	0.672529050311282	0.114939062429366	0.0742049469964664	0.0706713780918728	0.0185512367491166
sp_k1_gamma	sp_k1	sp	k1	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.412915266965375	0.0293013420382493	0.226602795472487	0.707542669128156	0.0687022900763359	0.0687022900763359	0.0362595419847328
sp_k1_lognormal	sp_k1	sp	k1	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	1.02213391492418	-0.579917305920561	0.640101194931306	0.216286578666302	0.049618320610687	0.049618320610687	0.0190839694656489
sp_k1_student	sp_k1	sp	k1	student	student;student	befr.st	524	0.442216609003624	1.01936577504753	-0.577149166043901	0.637835898355176	0.189768489463283	0.0477099236641221	0.0477099236641221	0.0209923664122137
