model	model_structure	hierarchy	k_depth	family	brms_family	response	n	elpd_loo	elpd_loo_se	p_loo	looic	looic_se	max_pareto_k	n_pareto_k_gt_0.7	n_pareto_k_gt_1.0	elpd_diff_from_structure_response_best	looic_diff_from_structure_response_best	rank_within_structure_response	pareto_warning
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	gamma;gamma	befa.st	1132	248.196807213249	32.8340170292171	32.3268544710744	-496.393614426498	65.6680340584342	0.627596609173051	0	0	0	0	1	FALSE
PFT_sp_k1_lognormal	PFT_sp_k1	PFT_sp	k1	lognormal	lognormal;lognormal	befa.st	1132	218.163858608831	36.8828819101528	32.2451182786199	-436.327717217662	73.7657638203056	0.606652641321879	0	0	-30.0329486044179	60.0658972088357	2	FALSE
PFT_sp_k1_student	PFT_sp_k1	PFT_sp	k1	student	student;student	befa.st	1132	-694.982370208343	11.6074025660789	0.665934979821642	1389.96474041669	23.2148051321578	0.995305368538553	4	0	-943.179177421592	1886.35835484318	3	TRUE
PFT_sp_k1_lognormal	PFT_sp_k1	PFT_sp	k1	lognormal	lognormal;lognormal	befr.st	524	186.073667833594	24.4243947911575	28.1684654177879	-372.147335667189	48.8487895823151	0.623333267562305	0	0	0	0	1	FALSE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	gamma;gamma	befr.st	524	177.892698550587	25.085084919855	35.1063940585642	-355.785397101173	50.1701698397101	0.754356528665941	1	0	-8.18096928300784	16.3619385660157	2	TRUE
PFT_sp_k1_student	PFT_sp_k1	PFT_sp	k1	student	student;student	befr.st	524	-295.809790013241	5.26407570044517	0.597642428336863	591.619580026482	10.5281514008903	0.551436058834384	0	0	-481.883457846835	963.766915693671	3	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	gamma;gamma	befa.st	1132	247.746017054015	32.9196781810827	35.5496470061152	-495.492034108029	65.8393563621654	0.470927513393819	0	0	0	0	1	FALSE
PFT_sp_k2_lognormal	PFT_sp_k2	PFT_sp	k2	lognormal	lognormal;lognormal	befa.st	1132	217.799974100216	36.9372695440452	35.9855996929082	-435.599948200431	73.8745390880904	0.333785454414819	0	0	-29.9460429537988	59.8920859075976	2	FALSE
PFT_sp_k2_student	PFT_sp_k2	PFT_sp	k2	student	student;student	befa.st	1132	-695.02399845055	11.6098681896358	0.663234529984758	1390.0479969011	23.2197363792716	1.03477425780899	3	1	-942.770015504564	1885.54003100913	3	TRUE
PFT_sp_k2_lognormal	PFT_sp_k2	PFT_sp	k2	lognormal	lognormal;lognormal	befr.st	524	185.84186759848	24.589889334929	27.8569208817726	-371.68373519696	49.179778669858	0.564900039517904	0	0	0	0	1	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	gamma;gamma	befr.st	524	176.989292862682	25.3454865312758	34.955762769799	-353.978585725364	50.6909730625516	0.640240062537726	0	0	-8.85257473579796	17.7051494715959	2	FALSE
PFT_sp_k2_student	PFT_sp_k2	PFT_sp	k2	student	student;student	befr.st	524	-295.701324231339	5.26262354512482	0.579956590355934	591.402648462677	10.5252470902496	0.567277555246541	0	0	-481.543191829818	963.086383659637	3	FALSE
sp_k0_gamma	sp_k0	sp	k0	gamma	gamma;gamma	befa.st	1132	248.61345777929	32.4947207855635	29.7998351408775	-497.226915558581	64.989441571127	0.469958232151823	0	0	0	0	1	FALSE
sp_k0_lognormal	sp_k0	sp	k0	lognormal	lognormal;lognormal	befa.st	1132	-694.532406910989	11.851521848654	0.629387855982873	1389.06481382198	23.7030436973079	0.83336815254092	3	0	-943.14586469028	1886.29172938056	2	TRUE
sp_k0_student	sp_k0	sp	k0	student	student;student	befa.st	1132	-699.440313113035	11.579123530178	0.632469360079767	1398.88062622607	23.158247060356	0.888911991189476	3	0	-948.053770892326	1896.10754178465	3	TRUE
sp_k0_gamma	sp_k0	sp	k0	gamma	gamma;gamma	befr.st	524	177.804404691138	25.210054232295	33.0959827575759	-355.608809382277	50.4201084645901	0.707991929866815	1	0	0	0	1	TRUE
sp_k0_lognormal	sp_k0	sp	k0	lognormal	lognormal;lognormal	befr.st	524	-296.344157384445	5.4221565989129	0.561791675762237	592.688314768889	10.8443131978258	0.600238456556162	0	0	-474.148562075583	948.297124151166	2	FALSE
sp_k0_student	sp_k0	sp	k0	student	student;student	befr.st	524	-300.271526924909	5.23713729149894	0.587124546719632	600.543053849817	10.4742745829979	0.660228355094966	0	0	-478.075931616047	956.151863232094	3	FALSE
sp_k1_gamma	sp_k1	sp	k1	gamma	gamma;gamma	befa.st	1132	248.796871906216	32.7267264473842	32.9892897147413	-497.593743812432	65.4534528947683	0.504266933670865	0	0	0	0	1	FALSE
sp_k1_lognormal	sp_k1	sp	k1	lognormal	lognormal;lognormal	befa.st	1132	-694.747660241444	11.8486264664693	0.650565133227325	1389.49532048289	23.6972529329387	0.773580505093927	3	0	-943.54453214766	1887.08906429532	2	TRUE
sp_k1_student	sp_k1	sp	k1	student	student;student	befa.st	1132	-699.557359906484	11.5777646249346	0.626282722171532	1399.11471981297	23.1555292498691	0.926013142912018	3	0	-948.354231812701	1896.7084636254	3	TRUE
sp_k1_gamma	sp_k1	sp	k1	gamma	gamma;gamma	befr.st	524	177.86048785794	25.3791150660343	33.0116152469751	-355.72097571588	50.7582301320686	0.765412548387542	1	0	0	0	1	TRUE
sp_k1_lognormal	sp_k1	sp	k1	lognormal	lognormal;lognormal	befr.st	524	-296.459974746548	5.41454572226726	0.562062752727457	592.919949493095	10.8290914445345	0.6267696860643	0	0	-474.320462604487	948.640925208975	2	FALSE
sp_k1_student	sp_k1	sp	k1	student	student;student	befr.st	524	-300.372299257959	5.2293377136854	0.598530782005975	600.744598515918	10.4586754273708	0.582263990261179	0	0	-478.232787115899	956.465574231798	3	FALSE
