ext_no	sp	dbh	h	plot_size
9	잣나무	32.3	14.3	0.04
9	잣나무	28.9	14.5	0.04
9	잣나무	29.7	14.4	0.04
9	잣나무	19.8	14.9	0.04
9	잣나무	24.1	14.7	0.04
9	잣나무	27.45	14.5	0.04
9	잣나무	22	14.8	0.04
9	잣나무	17.6	15	0.04
9	잣나무	27.5	14.5	0.04
9	잣나무	26.8	14.5	0.04
9	잣나무	23.1	14.7	0.04
9	잣나무	27.6	14.5	0.04
9	잣나무	22.7	14.7	0.04
9	잣나무	20.9	14.8	0.04
9	잣나무	24.2	14.7	0.04
9	잣나무	20.4	14.8	0.04
9	잣나무	24.3	14.6	0.04
9	잣나무	25	14.6	0.04
9	잣나무	23.6	14.7	0.04
9	잣나무	21.5	14.8	0.04
9	잣나무	23.2	14.7	0.04
9	잣나무	22.2	14.8	0.04
9	잣나무	25.9	14.6	0.04
9	잣나무	28.1	14.5	0.04
9	잣나무	20.6	14.8	0.04
9	잣나무	23.3	14.7	0.04
9	잣나무	15.7	15.1	0.04
9	잣나무	21.4	14.8	0.04
9	잣나무	22.5	14.7	0.04
9	잣나무	20.2	14.9	0.04
9	잣나무	21	14.8	0.04
9	잣나무	20.9	14.8	0.04
9	잣나무	21	14.8	0.04
10	잣나무	28	16.7	0.04
10	잣나무	29.2	17.2	0.04
10	잣나무	26.8	16.3	0.04
10	잣나무	31	17.8	0.04
10	잣나무	28.8	17	0.04
10	잣나무	22.6	14.6	0.04
10	잣나무	26.4	16.1	0.04
10	잣나무	31.4	17.9	0.04
10	잣나무	36.6	19.7	0.04
10	잣나무	33.2	18.6	0.04
10	잣나무	21.1	14	0.04
10	잣나무	27.3	16.5	0.04
10	잣나무	21.4	14.2	0.04
10	잣나무	32.2	18.2	0.04
10	잣나무	36.85	19.8	0.04
10	잣나무	21.1	14	0.04
10	잣나무	30.45	17.6	0.04
10	잣나무	27	16.3	0.04
10	잣나무	26.2	16	0.04
10	잣나무	26.5	16.2	0.04
10	잣나무	31.9	18.1	0.04
10	잣나무	15.5	11.6	0.04
10	잣나무	25.8	15.9	0.04
10	잣나무	29.1	17.1	0.04
10	잣나무	21.1	14	0.04
10	잣나무	25.6	15.8	0.04
10	잣나무	18.6	13	0.04
10	잣나무	25.6	15.8	0.04
10	잣나무	21.9	14.4	0.04
10	잣나무	32.4	18.3	0.04
10	잣나무	23.2	14.9	0.04
10	잣나무	32.1	18.2	0.04
10	잣나무	24.6	15.4	0.04
10	잣나무	13.6	10.7	0.04
11	낙엽송	9.5	11.3	0.0225
11	낙엽송	10.5	11.9	0.0225
11	낙엽송	11	12.3	0.0225
11	낙엽송	11	12.3	0.0225
11	낙엽송	11	12.3	0.0225
11	낙엽송	11.5	12.6	0.0225
11	낙엽송	11.6	12.6	0.0225
11	낙엽송	11.8	12.7	0.0225
11	낙엽송	12	12.9	0.0225
11	낙엽송	12.2	13	0.0225
11	낙엽송	12.5	13.2	0.0225
11	낙엽송	13	13.5	0.0225
11	낙엽송	13	13.5	0.0225
11	낙엽송	13.2	13.6	0.0225
11	낙엽송	13.3	13.6	0.0225
11	낙엽송	14	14	0.0225
11	낙엽송	14.5	14.3	0.0225
11	낙엽송	14.5	14.3	0.0225
11	낙엽송	15	14.6	0.0225
11	낙엽송	15	14.6	0.0225
11	낙엽송	15.2	14.7	0.0225
11	낙엽송	15.5	14.8	0.0225
11	낙엽송	15.5	14.8	0.0225
11	낙엽송	15.5	14.8	0.0225
11	낙엽송	16	15.1	0.0225
11	낙엽송	16.1	15.1	0.0225
11	낙엽송	16.5	15.4	0.0225
11	낙엽송	16.6	15.4	0.0225
11	낙엽송	16.7	15.5	0.0225
11	낙엽송	17.3	15.8	0.0225
11	낙엽송	17.8	16	0.0225
11	낙엽송	18	16.1	0.0225
11	낙엽송	19.5	16.8	0.0225
12	현사시나무	16.3	20.6	0.04
12	현사시나무	15.1	19.8	0.04
12	현사시나무	10.5	16.1	0.04
12	현사시나무	10	15.7	0.04
12	현사시나무	16.6	20.8	0.04
12	현사시나무	22.3	24.6	0.04
12	현사시나무	12.9	18.1	0.04
12	현사시나무	14.5	19.3	0.04
12	현사시나무	9.5	15.2	0.04
12	현사시나무	9.2	15	0.04
12	현사시나무	13.1	18.2	0.04
12	현사시나무	16.6	20.8	0.04
12	현사시나무	17.9	21.7	0.04
12	현사시나무	14.5	19.3	0.04
12	현사시나무	17.2	21.3	0.04
12	현사시나무	5.7	11.5	0.04
12	현사시나무	19	22.5	0.04
12	현사시나무	27.7	27.8	0.04
12	현사시나무	26.6	27.1	0.04
12	현사시나무	23	25	0.04
12	현사시나무	6.8	12.6	0.04
12	현사시나무	13.3	18.4	0.04
12	현사시나무	11.7	17.1	0.04
12	현사시나무	17.6	21.5	0.04
12	현사시나무	5.4	11.1	0.04
12	현사시나무	6.8	12.6	0.04
12	현사시나무	18.8	22.3	0.04
12	현사시나무	7.4	13.3	0.04
12	현사시나무	12	17.4	0.04
12	신갈나무	6.4	12.2	0.04
12	신갈나무	7.1	13	0.04
12	신갈나무	6.7	12.5	0.04
12	신갈나무	5.6	11.3	0.04
12	신갈나무	5.6	11.3	0.04
12	신갈나무	7.6	13.5	0.04
12	신갈나무	6	11.8	0.04
12	신갈나무	5.5	11.2	0.04
12	신갈나무	8.5	14.3	0.04
12	신갈나무	7.5	13.4	0.04
12	신갈나무	5.8	11.6	0.04
12	신갈나무	6.2	12	0.04
12	신갈나무	6.8	12.6	0.04
12	강원지방소나무	22.8	24.9	0.04
12	현사시나무	17.9	21.7	0.04
12	현사시나무	17	21.1	0.04
12	현사시나무	11.5	17	0.04
12	현사시나무	19.9	23.1	0.04
12	현사시나무	10.7	16.3	0.04
12	현사시나무	15.7	20.2	0.04
12	현사시나무	25.6	26.6	0.04
12	현사시나무	16.6	20.8	0.04
12	현사시나무	11.8	17.2	0.04
12	현사시나무	18.4	22.1	0.04
12	현사시나무	15.9	20.3	0.04
12	현사시나무	6	11.8	0.04
12	현사시나무	13.5	18.6	0.04
12	현사시나무	15	19.7	0.04
12	현사시나무	15.3	19.9	0.04
12	현사시나무	9.9	15.6	0.04
12	현사시나무	5.6	11.3	0.04
12	현사시나무	19.7	22.9	0.04
12	현사시나무	15.5	20.1	0.04
12	현사시나무	9.6	15.3	0.04
12	현사시나무	15	19.7	0.04
12	현사시나무	9	14.8	0.04
12	현사시나무	25.5	26.5	0.04
12	현사시나무	15.7	20.2	0.04
12	신갈나무	7.5	13.4	0.04
12	신갈나무	9.6	15.3	0.04
12	신갈나무	5.4	11.1	0.04
12	신갈나무	5.4	11.1	0.04
12	신갈나무	9.2	15	0.04
12	신갈나무	5.6	11.3	0.04
12	신갈나무	5.1	10.8	0.04
12	신갈나무	6.9	12.7	0.04
12	신갈나무	7.8	13.7	0.04
12	신갈나무	5.7	11.5	0.04
12	신갈나무	5.4	11.1	0.04
12	신갈나무	6	11.8	0.04
12	신갈나무	6.5	12.3	0.04
12	신갈나무	7.8	13.7	0.04
12	신갈나무	6.5	12.3	0.04
13	리기다소나무	17.2	12.9	0.04
13	리기다소나무	15.8	12.3	0.04
13	리기다소나무	20.3	14.2	0.04
13	굴참나무	6.3	7.3	0.04
13	리기다소나무	18.3	13.4	0.04
13	굴참나무	6.4	7.4	0.04
13	리기다소나무	17.8	13.1	0.04
13	리기다소나무	19.1	13.7	0.04
13	리기다소나무	18.6	13.5	0.04
13	리기다소나무	22.1	14.9	0.04
13	리기다소나무	14	11.5	0.04
13	리기다소나무	19.6	13.9	0.04
13	리기다소나무	19.5	13.8	0.04
13	리기다소나무	14.3	11.6	0.04
13	리기다소나무	13.3	11.2	0.04
13	리기다소나무	14.2	11.6	0.04
13	졸참나무	6	7.1	0.04
13	리기다소나무	16.6	12.6	0.04
13	굴참나무	6.6	7.5	0.04
13	리기다소나무	19.6	13.9	0.04
13	리기다소나무	14.2	11.6	0.04
13	리기다소나무	11	10	0.04
13	리기다소나무	11.7	10.4	0.04
13	리기다소나무	9.6	9.3	0.04
13	리기다소나무	14.9	11.9	0.04
13	리기다소나무	16.8	12.7	0.04
13	리기다소나무	12.4	10.7	0.04
13	리기다소나무	12.3	10.7	0.04
13	리기다소나무	13.7	11.3	0.04
13	리기다소나무	17.9	13.2	0.04
13	리기다소나무	15.4	12.1	0.04
13	리기다소나무	11.3	10.2	0.04
13	굴참나무	8	8.4	0.04
13	리기다소나무	16.4	12.6	0.04
13	리기다소나무	15.1	12	0.04
13	리기다소나무	16	12.4	0.04
13	리기다소나무	14.8	11.8	0.04
13	리기다소나무	16	12.4	0.04
13	굴참나무	7	7.8	0.04
13	리기다소나무	12.7	10.9	0.04
13	리기다소나무	13	11	0.04
13	리기다소나무	17.5	13	0.04
13	리기다소나무	21	14.4	0.04
13	리기다소나무	14.1	11.5	0.04
13	리기다소나무	21.3	14.5	0.04
13	리기다소나무	17.6	13.1	0.04
13	리기다소나무	12.8	10.9	0.04
14	서어나무	8	11.1	0.04
14	서어나무	10	11.6	0.04
14	서어나무	10	11.6	0.04
14	서어나무	12	11.9	0.04
14	서어나무	12	11.9	0.04
14	서어나무	12	11.9	0.04
14	서어나무	14	12.3	0.04
14	서어나무	14	12.3	0.04
14	서어나무	20	13	0.04
14	서어나무	20	13	0.04
14	서어나무	22	13.2	0.04
14	서어나무	24	13.4	0.04
14	서어나무	26	13.6	0.04
14	서어나무	26	13.6	0.04
14	서어나무	30	14	0.04
14	서어나무	34	14.3	0.04
14	서어나무	18	12.8	0.04
14	서어나무	20	13	0.04
14	서어나무	22	13.2	0.04
14	서어나무	22	13.2	0.04
14	서어나무	24	13.4	0.04
14	서어나무	24	13.4	0.04
14	서어나무	26	13.6	0.04
14	서어나무	28	13.8	0.04
14	서어나무	30	14	0.04
15	서어나무	24	16.3	0.04
15	서어나무	26	16.9	0.04
15	서어나무	30	18.1	0.04
15	서어나무	32	18.7	0.04
15	서어나무	36	19.8	0.04
15	서어나무	40	20.8	0.04
15	서어나무	12	11.7	0.04
15	서어나무	28	17.5	0.04
15	서어나무	32	18.7	0.04
15	서어나무	34	19.3	0.04
15	서어나무	38	20.3	0.04
15	서어나무	38	20.3	0.04
16	서어나무	6	12	0.04
16	서어나무	8	11.7	0.04
16	서어나무	12	11.2	0.04
16	서어나무	12	11.2	0.04
16	서어나무	14	11	0.04
16	서어나무	16	10.8	0.04
16	서어나무	16	10.8	0.04
16	서어나무	18	10.7	0.04
16	서어나무	20	10.6	0.04
16	서어나무	22	10.5	0.04
16	서어나무	24	10.4	0.04
16	서어나무	28	10.2	0.04
16	서어나무	6	12	0.04
16	서어나무	8	11.7	0.04
16	서어나무	8	11.7	0.04
16	서어나무	10	11.4	0.04
16	서어나무	12	11.2	0.04
16	서어나무	14	11	0.04
16	서어나무	14	11	0.04
16	서어나무	16	10.8	0.04
16	서어나무	18	10.7	0.04
16	서어나무	18	10.7	0.04
16	서어나무	20	10.6	0.04
16	서어나무	22	10.5	0.04
16	서어나무	24	10.4	0.04
16	서어나무	26	10.3	0.04
17	서어나무	8	4.5	0.04
17	서어나무	8	4.5	0.04
17	서어나무	10	5.9	0.04
17	서어나무	12	7.3	0.04
17	서어나무	12	7.3	0.04
17	서어나무	12	7.3	0.04
17	서어나무	14	8.8	0.04
17	서어나무	14	8.8	0.04
17	서어나무	16	10.3	0.04
17	서어나무	16	10.3	0.04
17	서어나무	18	11.8	0.04
17	서어나무	18	11.8	0.04
17	서어나무	20	13.3	0.04
17	서어나무	22	14.9	0.04
17	서어나무	24	16.6	0.04
17	서어나무	26	18.2	0.04
17	서어나무	28	19.9	0.04
17	서어나무	34	25	0.04
17	서어나무	8	4.5	0.04
17	서어나무	10	5.9	0.04
17	서어나무	10	5.9	0.04
17	서어나무	12	7.3	0.04
17	서어나무	12	7.3	0.04
17	서어나무	12	7.3	0.04
17	서어나무	14	8.8	0.04
17	서어나무	14	8.8	0.04
17	서어나무	16	10.3	0.04
17	서어나무	16	10.3	0.04
17	서어나무	18	11.8	0.04
17	서어나무	18	11.8	0.04
17	서어나무	20	13.3	0.04
17	서어나무	20	13.3	0.04
17	서어나무	22	14.9	0.04
17	서어나무	26	18.2	0.04
17	서어나무	32	23.3	0.04
18	서어나무	8	8.6	0.04
18	서어나무	8	8.6	0.04
18	서어나무	10	9.3	0.04
18	서어나무	10	9.3	0.04
18	서어나무	12	10	0.04
18	서어나무	12	10	0.04
18	서어나무	14	10.6	0.04
18	서어나무	14	10.6	0.04
18	서어나무	16	11.1	0.04
18	서어나무	18	11.6	0.04
18	서어나무	18	11.6	0.04
18	서어나무	18	11.6	0.04
18	서어나무	20	12.1	0.04
18	서어나무	20	12.1	0.04
18	서어나무	22	12.5	0.04
18	서어나무	22	12.5	0.04
18	서어나무	24	13	0.04
18	서어나무	24	13	0.04
18	서어나무	26	13.3	0.04
18	서어나무	28	13.7	0.04
18	서어나무	28	13.7	0.04
18	서어나무	30	14.1	0.04
18	서어나무	30	14.1	0.04
18	서어나무	32	14.4	0.04
18	서어나무	32	14.4	0.04
18	서어나무	8	8.6	0.04
18	서어나무	10	9.3	0.04
18	서어나무	10	9.3	0.04
18	서어나무	10	9.3	0.04
18	서어나무	12	10	0.04
18	서어나무	12	10	0.04
18	서어나무	12	10	0.04
18	서어나무	14	10.6	0.04
18	서어나무	14	10.6	0.04
18	서어나무	16	11.1	0.04
18	서어나무	18	11.6	0.04
18	서어나무	18	11.6	0.04
18	서어나무	18	11.6	0.04
18	서어나무	20	12.1	0.04
18	서어나무	20	12.1	0.04
18	서어나무	22	12.5	0.04
18	서어나무	24	13	0.04
19	서어나무	6	6.5	0.04
19	서어나무	6	6.5	0.04
19	서어나무	8	7.5	0.04
19	서어나무	8	7.5	0.04
19	서어나무	10	8.5	0.04
19	서어나무	10	8.5	0.04
19	서어나무	10	8.5	0.04
19	서어나무	10	8.5	0.04
19	서어나무	10	8.5	0.04
19	서어나무	10	8.5	0.04
19	서어나무	10	8.5	0.04
19	서어나무	12	9.3	0.04
19	서어나무	12	9.3	0.04
19	서어나무	14	10.1	0.04
19	서어나무	14	10.1	0.04
19	서어나무	14	10.1	0.04
19	서어나무	16	10.9	0.04
19	서어나무	16	10.9	0.04
19	서어나무	18	11.6	0.04
19	서어나무	18	11.6	0.04
19	서어나무	18	11.6	0.04
19	서어나무	20	12.2	0.04
19	서어나무	22	12.9	0.04
19	서어나무	22	12.9	0.04
19	서어나무	22	12.9	0.04
19	서어나무	24	13.5	0.04
19	서어나무	28	14.6	0.04
19	서어나무	30	15.2	0.04
19	서어나무	6	6.5	0.04
19	서어나무	6	6.5	0.04
19	서어나무	10	8.5	0.04
19	서어나무	12	9.3	0.04
19	서어나무	12	9.3	0.04
19	서어나무	14	10.1	0.04
19	서어나무	14	10.1	0.04
19	서어나무	14	10.1	0.04
19	서어나무	16	10.9	0.04
19	서어나무	16	10.9	0.04
19	서어나무	16	10.9	0.04
19	서어나무	18	11.6	0.04
19	서어나무	18	11.6	0.04
19	서어나무	20	12.2	0.04
19	서어나무	22	12.9	0.04
19	서어나무	22	12.9	0.04
19	서어나무	22	12.9	0.04
19	서어나무	24	13.5	0.04
19	서어나무	26	14	0.04
19	서어나무	28	14.6	0.04
19	서어나무	36	16.7	0.04
20	편백	14.3	17	0.04
20	편백	16	17.4	0.04
