ext_no	sp	plot	no	age	dbh	h	Mst	br	leaf	cr	wd	Vst	Vst.5
90	LL	6	0	10	0.015	3.050	0.155	0.161	0.126	NA	0.292	0.000454	0.234433
90	LL	6	1	12	0.031	4.400	0.789	0.675	0.450	NA	0.377	0.001939	0.000383
90	LL	6	2	12	0.041	6.150	1.700	0.798	0.432	1.359	0.321	0.004379	0.082058
90	LL	6	3	13	0.045	5.200	1.669	1.271	0.901	NA	0.362	0.004428	0.108447
90	LL	6	4	12	0.058	5.970	2.918	1.986	1.305	1.474	0.349	0.008206	0.188332
90	LL	6	5	10	0.068	5.500	4.306	2.326	1.641	NA	0.386	0.011132	0.135881
119	LL	7	1	52	0.234	24.610	252.230	22.418	6.000	91.519	0.491	0.565475	0.017141
119	LL	7	2	50	0.275	21.900	301.902	26.337	6.275	NA	0.500	0.643722	0.018770
119	LL	7	3	52	0.290	25.380	388.741	22.277	6.924	114.121	0.535	0.804085	0.054207
119	LL	7	4	52	0.296	26.950	381.932	28.658	7.503	NA	0.489	0.811369	0.134244
119	LL	7	5	51	0.309	23.440	345.830	38.293	5.575	NA	0.493	0.771520	0.227581
87	LL	8	1	35	0.175	19.500	63.173	30.982	7.222	NA	0.315	0.215403	0.179627
87	LL	8	2	35	0.196	22.000	121.390	8.247	2.012	54.501	0.394	0.323793	0.334291
87	LL	8	3	34	0.250	22.100	149.319	48.471	14.110	NA	0.351	0.453795	0.378675
87	LL	8	4	34	0.264	22.590	193.249	31.537	6.073	43.741	0.374	0.561571	0.576773
87	LL	8	5	34	0.260	21.450	164.617	49.240	5.929	NA	0.311	0.551259	0.519644
136	LL	9	1	46	0.376	23.900	639.713	169.041	19.085	NA	0.571	1.217166	0.458805
136	LL	9	2	46	0.274	23.900	304.276	67.744	8.778	102.371	0.473	0.672566	0.200704
136	LL	9	3	45	0.321	24.800	439.181	86.590	17.351	NA	0.482	0.947063	0.624990
136	LL	9	4	48	0.323	20.700	415.362	79.166	18.421	170.301	0.534	0.852639	0.387838
136	LL	9	5	41	0.237	17.800	161.089	13.974	1.182	NA	0.420	0.393558	0.254394
