ext_no	sp	plot	no	age	dbh	h	Mst	br	leaf	cr	wd	Vst	Vst.5
187	PD	22	4	9	0.045	3.000	2.437	1.090	0.897	1.053	0.654	0.004113	0.261684
187	PD	22	5	10	0.069	3.950	3.634	2.001	1.360	NA	0.407	0.009474	0.162462
170	PD	23	1	37	0.161	10.500	44.875	18.991	9.097	NA	0.429	0.115884	0.001931
170	PD	23	2	39	0.192	12.100	53.107	17.135	9.624	16.023	0.459	0.138147	0.003807
170	PD	23	3	48	0.201	10.660	56.642	30.991	1.363	NA	0.490	0.137173	0.005138
170	PD	23	4	47	0.212	11.100	60.826	27.227	11.413	22.591	0.476	0.147952	0.006509
170	PD	23	5	39	0.223	13.950	84.850	39.770	16.637	NA	0.425	0.223565	0.010852
116	PD	24	1	49	0.132	14.800	73.331	13.216	2.923	NA	0.597	0.122553	0.171775
116	PD	24	2	52	0.176	12.200	72.049	7.149	2.677	17.857	0.525	0.141466	0.063439
116	PD	24	3	53	0.208	16.700	136.435	13.994	4.134	NA	0.598	0.241261	0.072832
116	PD	24	4	50	0.268	15.800	188.044	38.437	11.171	68.306	0.575	0.379561	0.165976
116	PD	24	5	57	0.269	18.500	253.731	29.918	10.279	NA	0.519	0.505582	0.111475
186	PD	25	1	37	0.134	10.520	41.689	6.440	2.591	8.626	0.527	0.079889	0.009461
186	PD	25	2	39	0.156	12.450	54.654	16.499	3.179	20.291	0.433	0.122358	0.008052
186	PD	25	3	51	0.199	12.500	98.687	15.778	4.576	29.51	0.553	0.180562	0.007411
186	PD	25	4	53	0.215	12.810	106.900	19.164	3.911	27.589	0.542	0.192736	0.004260
186	PD	25	5	52	0.292	14.700	202.856	77.389	12.672	57.635	0.464	0.428344	0.003103
169	PD	26	1	29	0.129	8.240	22.269	8.517	2.582	NA	0.492	0.050112	0.090264
169	PD	26	2	33	0.148	8.100	27.626	6.468	4.018	19.769	0.479	0.064211	0.097770
169	PD	26	3	30	0.150	8.270	23.155	8.988	3.647	NA	0.403	0.062865	0.165653
169	PD	26	4	30	0.166	6.900	30.612	20.907	6.933	12.64	0.570	0.069708	0.097665
169	PD	26	5	36	0.183	7.600	41.061	20.223	8.920	NA	0.478	0.099706	0.107067
115	PD	27	1	20	0.075	7.500	10.150	1.392	1.977	NA	0.571	0.018118	0.121395
115	PD	27	2	19	0.077	8.100	9.313	2.325	1.621	2.735	0.526	0.019175	0.199889
115	PD	27	3	19	0.080	8.500	11.529	2.469	1.809	NA	0.594	0.020847	0.454286
115	PD	27	4	20	0.098	7.200	12.769	4.350	2.649	5.67	0.487	0.027844	0.113613
115	PD	27	5	19	0.105	8.300	15.698	2.595	1.817	NA	0.543	0.032022	0.298991
185	PD	28	1	54	0.144	10.180	48.183	8.448	3.016	20.892	0.493	0.096872	0.067640
185	PD	28	2	47	0.160	10.800	63.023	14.921	5.509	24.475	0.469	0.129545	0.108397
185	PD	28	3	47	0.214	12.250	106.222	31.641	5.892	NA	0.466	0.225994	0.375443
185	PD	28	4	48	0.239	10.600	113.309	22.146	5.066	69.451	0.443	0.262319	0.152423
185	PD	28	5	51	0.274	12.400	165.960	70.336	12.052	53.955	0.536	0.312249	0.169983
168	PD	29	1	30	0.117	8.500	14.404	3.983	2.547	NA	0.368	0.044219	0.037020
168	PD	29	2	29	0.118	9.840	22.733	7.159	4.051	6.577	0.481	0.054217	0.046813
168	PD	29	3	29	0.130	10.160	25.658	8.719	6.217	NA	0.444	0.065136	0.041298
168	PD	29	4	38	0.149	8.700	30.751	7.333	4.178	11.685	0.469	0.075570	0.072465
168	PD	29	5	39	0.162	8.240	36.127	25.718	2.054	NA	0.444	0.085658	0.047380
114	PD	30	1	33	0.068	6.700	7.572	1.213	1.446	NA	0.664	0.012742	0.014390
114	PD	30	2	37	0.098	10.300	15.279	2.550	1.594	4.315	0.623	0.028601	0.013685
114	PD	30	3	32	0.112	6.690	18.883	7.387	3.535	NA	0.544	0.036227	0.016281
114	PD	30	4	49	0.165	7.800	43.567	7.831	5.306	11.295	0.593	0.080001	0.023170
114	PD	30	5	43	0.165	9.900	48.644	8.258	2.237	NA	0.516	0.094456	0.021065
103	CO	1	1	42	0.246	17.150	168.810	42.408	22.154	NA	0.422	0.410246	0.284102
103	CO	1	2	42	0.273	17.400	204.530	42.672	21.850	89.184	0.464	0.459717	0.316504
103	CO	1	3	43	0.267	17.700	207.249	79.064	19.556	NA	0.413	0.514139	0.291011
103	CO	1	4	43	0.277	17.600	216.129	39.539	20.450	91.621	0.458	0.495419	0.359711
103	CO	1	5	42	0.294	18.960	258.351	72.759	25.800	NA	0.437	0.614516	0.304536
107	CO	2	1	18	0.059	6.900	4.416	1.121	1.504	NA	0.455	0.009925	0.018970
107	CO	2	2	19	0.072	5.130	4.817	2.663	2.607	2.766	0.432	0.011902	0.190546
107	CO	2	3	16	0.077	6.730	6.345	2.589	2.853	NA	0.403	0.015722	0.271798
107	CO	2	4	19	0.096	5.670	8.711	4.377	4.706	3.838	0.408	0.022144	0.302702
107	CO	2	5	19	0.097	6.950	11.346	5.853	4.340	NA	0.426	0.027082	0.137227
106	CO	3	1	26	0.108	12.570	26.133	3.039	2.898	NA	0.412	0.063827	0.022917
106	CO	3	2	26	0.116	10.550	25.434	3.141	4.561	6.933	0.458	0.059973	0.008533
106	CO	3	3	26	0.124	11.960	32.040	6.572	7.418	NA	0.429	0.078181	0.009572
106	CO	3	4	27	0.142	11.600	42.174	8.532	6.384	NA	0.479	0.089569	0.013523
106	CO	3	5	25	0.144	11.900	44.199	12.176	9.915	17.103	0.415	0.108693	0.018442
105	CO	4	1	34	0.157	14.100	55.434	7.191	7.849	NA	0.405	0.140144	0.064912
105	CO	4	2	36	0.183	15.980	94.423	13.712	12.371	52.4	0.425	0.230882	0.077417
105	CO	4	3	36	0.178	15.940	79.152	12.748	10.172	NA	0.419	0.197499	0.092754
105	CO	4	4	36	0.186	15.700	90.798	15.095	11.759	58.652	0.411	0.225898	0.049296
105	CO	4	5	33	0.203	15.940	100.891	15.342	13.184	NA	0.404	0.262671	0.055689
104	CO	5	1	36	0.206	16.830	128.280	29.150	16.483	NA	0.413	0.319512	0.203233
104	CO	5	2	36	0.218	17.500	128.695	16.848	11.611	48.06	0.405	0.332423	0.172484
104	CO	5	3	36	0.223	16.960	145.118	27.483	19.139	NA	0.416	0.358520	0.198738
104	CO	5	4	34	0.231	15.980	132.865	15.206	13.124	NA	0.404	0.340164	0.125697
104	CO	5	5	34	0.245	17.760	162.934	36.405	18.258	54.984	0.417	0.405983	0.228042
101	CO	6	1	89	0.286	14.330	203.189	69.235	42.555	NA	0.486	0.438300	0.065136
101	CO	6	2	86	0.300	15.600	207.612	45.886	23.455	NA	0.408	0.525295	0.048733
101	CO	6	3	87	0.314	15.920	262.244	52.551	36.205	94.924	0.463	0.594391	0.250689
101	CO	6	4	89	0.316	14.840	234.562	68.271	33.416	113.317	0.444	0.545034	0.147816
101	CO	6	5	87	0.351	15.950	260.023	87.775	43.566	NA	0.397	0.667548	0.038388
25	CO	7	1	13	0.072	5.100	7.498	2.405	1.614	0.909	0.794	0.011386	0.008234
25	CO	7	2	13	0.082	5.700	9.017	4.259	2.562	1.367	0.596	0.014876	0.013124
25	CO	7	3	13	0.112	6.200	10.547	4.984	2.192	2.836	0.405	0.026780	0.022688
24	CO	8	1	27	0.144	10.100	43.307	3.888	2.045	5.742	0.490	0.087660	0.080356
24	CO	8	2	27	0.168	10.700	61.475	8.358	3.355	10.693	0.516	0.120213	0.110510
24	CO	8	3	27	0.221	12.100	147.815	9.741	4.875	12.353	0.686	0.216996	0.195811
23	CO	9	1	37	0.167	13.100	66.044	4.335	2.357	6.286	0.458	0.143208	0.132603
23	CO	9	2	37	0.210	13.000	119.555	11.975	4.800	NA	0.510	0.233020	0.210034
23	CO	9	3	37	0.259	17.700	219.688	36.952	4.522	14.634	0.451	0.482357	0.458603
22	CO	10	1	41	0.175	13.000	76.373	15.655	5.798	10.092	0.514	0.148940	0.137626
22	CO	10	2	41	0.225	14.100	137.204	19.930	7.603	23.679	0.496	0.277822	0.254208
22	CO	10	3	41	0.317	14.500	270.082	47.650	12.176	41.47	0.535	0.508113	0.471855
21	CO	11	1	62	0.221	17.100	179.207	16.838	6.023	31.167	0.551	0.325342	0.306112
21	CO	11	2	62	0.261	18.000	236.676	29.347	8.572	21.637	0.495	0.482980	0.454113
21	CO	11	3	62	0.348	16.700	300.584	104.771	21.676	102.85	0.392	0.756090	0.720508
20	CO	12	1	68	0.224	18.800	194.164	12.563	3.753	14.058	0.525	0.368212	0.348552
20	CO	12	2	68	0.305	19.850	364.474	30.160	8.234	26.96	0.613	0.594070	0.560165
20	CO	12	3	68	0.423	21.500	602.024	86.409	14.715	35.003	0.481	1.253708	1.178258
134	PT	1	1	43	0.211	14.200	141.775	26.308	13.285	41.794	0.574	0.256826	0.109566
134	PT	1	2	43	0.189	14.400	128.403	10.757	11.722	NA	0.585	0.238040	0.223079
134	PT	1	3	38	0.156	8.400	58.192	18.936	16.597	23.93	0.657	0.093971	0.289367
134	PT	1	4	45	0.235	14.400	169.269	67.574	20.768	NA	0.569	0.308358	0.159443
134	PT	1	5	37	0.087	6.400	18.198	6.515	2.700	NA	0.728	0.026532	0.240254
132	PT	2	1	30	0.155	9.300	63.454	14.983	5.910	22.925	0.667	0.099240	0.054014
132	PT	2	2	27	0.116	8.000	22.039	10.311	2.290	NA	0.432	0.051571	0.057357
132	PT	2	3	28	0.089	6.400	11.316	6.206	2.389	6.407	0.544	0.022691	0.178046
132	PT	2	4	30	0.212	8.700	63.465	56.429	23.065	NA	0.469	0.148388	0.290347
132	PT	2	5	17	0.060	4.300	4.311	1.913	0.702	NA	0.437	0.010010	0.023951
130	PT	3	1	50	0.295	20.400	380.457	52.147	17.957	NA	0.492	0.804511	0.016345
130	PT	3	2	43	0.157	18.200	101.192	3.242	3.156	24.967	0.563	0.192361	0.013717
130	PT	3	3	38	0.107	14.400	31.735	2.397	0.524	NA	0.471	0.071973	0.007131
130	PT	3	4	49	0.177	18.600	113.711	7.514	4.411	NA	0.480	0.241753	0.015845
130	PT	3	5	45	0.233	21.400	220.773	35.836	9.551	75.44	0.525	0.433967	0.010484
129	PT	4	1	44	0.243	18.400	217.012	18.462	13.514	100.297	0.554	0.412400	0.713744
129	PT	4	2	46	0.167	14.700	95.650	33.605	16.664	32.399	0.546	0.184699	0.162301
129	PT	4	3	46	0.296	18.200	323.522	94.248	27.191	NA	0.569	0.594865	0.059932
129	PT	4	4	42	0.143	14.700	57.997	8.282	4.480	NA	0.419	0.143997	0.212911
129	PT	4	5	44	0.207	16.400	148.159	44.671	17.089	NA	0.519	0.287815	0.387670
178	PT	5	1	39	0.060	5.120	5.562	2.191	1.904	NA	0.586	0.009331	0.156241
178	PT	5	2	48	0.097	11.110	26.184	4.901	3.530	8.566	0.569	0.046459	0.136630
178	PT	5	3	40	0.158	13.100	79.560	21.594	11.415	NA	0.553	0.142944	0.158179
178	PT	5	4	42	0.190	14.720	110.610	25.442	13.730	44.095	0.512	0.217191	0.283969
178	PT	5	5	42	0.228	16.200	172.275	42.896	20.751	NA	0.610	0.285830	0.294059
133	PT	6	1	38	0.117	10.400	38.492	8.231	5.619	8.047	0.642	0.064610	0.226343
133	PT	6	2	41	0.141	8.400	41.214	11.882	9.446	NA	0.632	0.068106	0.200820
133	PT	6	3	43	0.188	14.200	121.078	26.023	16.045	49.464	0.615	0.207022	0.078264
133	PT	6	4	40	0.264	10.900	181.593	59.776	28.362	NA	0.581	0.331286	0.275445
133	PT	6	5	30	0.083	8.300	13.541	2.508	2.605	NA	0.493	0.029358	0.021381
131	PT	7	1	13	0.101	4.400	12.241	7.400	5.758	NA	0.627	0.021101	0.080120
131	PT	7	2	14	0.091	4.400	7.129	3.621	5.086	NA	0.436	0.017406	0.041235
131	PT	7	3	13	0.068	3.200	4.894	2.356	2.628	NA	0.581	0.009100	0.017466
131	PT	7	4	14	0.094	4.700	10.337	3.994	4.716	10.413	0.564	0.019497	0.113999
131	PT	7	5	16	0.078	4.400	6.074	2.191	2.091	4.659	0.498	0.013550	0.007062
177	PT	8	1	39	0.077	9.700	15.435	1.260	0.395	NA	0.617	0.024746	0.007465
177	PT	8	2	40	0.126	13.170	43.537	6.191	3.338	15.907	0.541	0.082863	0.038984
177	PT	8	3	40	0.142	12.440	50.500	7.150	4.285	NA	0.517	0.110839	0.129960
177	PT	8	4	56	0.168	13.870	84.162	27.708	8.509	33.067	0.559	0.151572	0.188730
177	PT	8	5	45	0.176	15.770	123.710	35.506	13.790	NA	0.586	0.207923	0.251295
156	PTl	1	1	11	0.050	8.200	2.413	0.688	0.155	0.6	0.265	0.008345	0.251497
156	PTl	1	2	25	0.096	15.500	16.222	0.900	0.175	NA	0.272	0.057148	0.079612
156	PTl	1	3	20	0.137	17.200	40.831	4.741	0.679	NA	0.348	0.114825	0.119344
156	PTl	1	4	32	0.166	17.100	67.919	6.312	0.892	13.21	0.386	0.172088	0.148487
156	PTl	1	5	40	0.222	25.000	136.370	11.374	3.625	NA	0.329	0.404535	0.185110
12	PTl	2	2	28	0.109	17.300	28.253	3.602	0.555	NA	0.329	0.083295	0.075467
12	PTl	2	3	34	0.143	17.400	30.449	4.316	0.710	NA	0.231	0.127118	0.115262
12	PTl	2	4	34	0.188	23.600	81.097	10.992	0.433	NA	0.272	0.291337	0.267789
12	PTl	2	5	47	0.234	24.900	147.840	28.712	4.139	NA	0.319	0.454982	0.417636
94	PTl	3	1	27	0.104	15.900	15.696	2.194	0.333	2.368	0.260	0.057476	0.031373
94	PTl	3	2	30	0.125	17.600	32.205	4.251	0.396	NA	0.310	0.099554	0.035977
94	PTl	3	3	30	0.174	20.800	72.857	9.728	0.866	11.641	0.321	0.221384	0.303239
94	PTl	3	4	38	0.208	25.600	135.139	21.335	2.257	NA	0.347	0.381613	0.179330
94	PTl	3	5	47	0.309	25.800	291.063	83.492	6.567	65.962	0.366	0.781120	0.451724
93	PTl	4	1	18	0.076	9.100	5.458	0.676	0.042	1.42	0.231	0.023374	0.051812
93	PTl	4	2	28	0.125	18.500	30.830	5.491	1.266	NA	0.271	0.108331	0.089964
93	PTl	4	3	31	0.157	19.900	51.663	5.552	1.189	NA	0.308	0.167804	0.205222
93	PTl	4	4	33	0.171	21.700	77.868	9.066	1.684	13.535	0.323	0.231511	0.354058
93	PTl	4	5	43	0.230	24.100	153.900	20.164	3.841	NA	0.353	0.424126	0.729245
92	PTl	5	1	24	0.072	12.000	5.012	0.746	0.247	NA	0.197	0.023860	0.020095
92	PTl	5	2	21	0.119	16.500	28.078	4.238	0.404	3.75	0.314	0.085038	0.096849
92	PTl	5	3	41	0.192	23.500	109.261	15.241	1.786	21.009	0.331	0.323423	0.149042
92	PTl	5	4	44	0.223	22.900	131.988	16.747	3.373	NA	0.376	0.349210	0.215602
92	PTl	5	5	48	0.259	27.500	217.555	29.757	3.629	39.337	0.374	0.571735	0.388962
