model	model_structure	hierarchy	k_depth	family	variable	mean	median	sd	q025	q05	q95	q975	prob_gt_0	prob_lt_0	is_best_gamma_model
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h2__y1m1_logA_Intercept	0.35444808034225	0.334694855	0.126801850611911	0.163155947	0.186139734	0.5924022235	0.65551325425	1	0	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h1__y1m1_logk_Intercept	0.397815546058003	0.26961726	0.417391585566269	0.01221952605	0.02346279675	1.23927861	1.60495244	1	0	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h1__y2_logL_Intercept	0.424735603764556	0.29449169	0.440525707896234	0.01348235245	0.0284477998	1.264312005	1.59926901	1	0	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h2__y2_logL_Intercept	0.45753260622475	0.40518955	0.212182374665469	0.2267226145	0.2508426075	0.853153154999999	1.035138725	1	0	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h1__y2_logA_Intercept	0.334628608415135	0.23294353	0.342504492156498	0.010528646175	0.01959290705	0.988955327	1.224530945	1	0	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h2__y2_logA_Intercept	0.577159126604215	0.501229445	0.344834094758375	0.078163772225	0.141816014	1.244604215	1.4141413125	1	0	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	sd_h1__y2_logk_Intercept	0.59125599306363	0.45888406	0.522799224952405	0.020170370175	0.03669888845	1.57317883	1.9573825325	1	0	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	shape_y1m1	3.398805202625	3.3985662	0.137944016629141	3.1350238625	3.17560841	3.62756824	3.676150195	1	0	TRUE
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	shape_y2	5.56732286295	5.5575106	0.352909922217806	4.8954752925	5.00516827	6.16705813	6.27857524	1	0	TRUE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	b_y1m1_logL_Intercept	-1.2921270114425	-1.24747045	0.337747083789217	-2.1358440275	-1.9013701	-0.8417108115	-0.75219235075	0	1	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	b_y1m1_logA_Intercept	0.00074020437647055	0.0404677815	0.332736638781108	-0.7938002445	-0.6078858265	0.464147047	0.5481101585	0.555625	0.444375	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	b_y1m1_logk_Intercept	1.76993089546945	1.85431375	0.387278099727228	0.72563691875	1.012335305	2.20742079	2.296164165	0.9955	0.0045	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	b_y2_logL_Intercept	-1.8398560498333	-1.7088741	0.672259142645585	-3.40152407	-3.10408179	-1.00402907	-0.92555901925	0.00025	0.99975	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	b_y2_logA_Intercept	-0.876285005377337	-0.861937925	0.280029829533941	-1.47134364	-1.35162552	-0.4697621475	-0.3634724415	0.004125	0.995875	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	b_y2_logk_Intercept	0.197948746524482	0.127807785	0.636817216764055	-0.9202406785	-0.7324962435	1.323285125	1.5000679175	0.57675	0.42325	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h1__y1m1_logL_Intercept	0.52885081447143	0.438516405	0.374109285604025	0.087515390025	0.1328816675	1.20883505	1.4983619025	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h2__y1m1_logL_Intercept	0.46734643776725	0.455644865	0.0954588155374945	0.3105044265	0.331980532	0.636512859	0.6813116615	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h1__y1m1_logA_Intercept	0.433713015878487	0.32373673	0.411615408314857	0.0127927291	0.02626552265	1.23955813	1.53911755	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h2__y1m1_logA_Intercept	0.317647592282135	0.304264695	0.155877475287891	0.03831323415	0.0746905399	0.5907788355	0.660421789	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h1__y1m1_logk_Intercept	0.408389705591467	0.25839107	0.45929907753757	0.0097460075125	0.0208346897	1.324272895	1.6950963775	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h2__y1m1_logk_Intercept	0.279259025578689	0.255144815	0.188419672116258	0.0127531969	0.02839435715	0.6189549225	0.71115311325	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h1__y2_logL_Intercept	0.490450983692748	0.346337495	0.496051583262185	0.01428368995	0.0297561509	1.484359985	1.87900872	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h2__y2_logL_Intercept	0.491406502994175	0.422110925	0.286799394407023	0.08318071895	0.1483156115	1.041152705	1.2836069075	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h1__y2_logA_Intercept	0.302958675850749	0.20380501	0.33162534228457	0.0078511363125	0.01630475045	0.925312130999999	1.1843096925	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h2__y2_logA_Intercept	0.4292121122956	0.359191055	0.297402278291878	0.033776269825	0.06939738495	1.01096838	1.2144074275	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h1__y2_logk_Intercept	0.569183263918234	0.424399655	0.520236225101933	0.02056943315	0.0403917867	1.5700369	1.9519014675	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	sd_h2__y2_logk_Intercept	0.430936248863129	0.382940385	0.306287362343737	0.01896493905	0.0397950168	0.994581748	1.16524175	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	shape_y1m1	3.4036058876125	3.3999765	0.137940831445382	3.14209615	3.183016185	3.6361123	3.6810529725	1	0	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	shape_y2	5.5415013075	5.5270864	0.352444503739869	4.88357899	4.984328825	6.141131565	6.2732669775	1	0	FALSE
