model	model_structure	hierarchy	k_depth	family	variable	mean	median	sd	mad	q5	q95
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h1__y1m1_logL_Intercept	0.581187949001909	0.40349625	0.586386233301327	0.379415286873	0.04357503495	1.70988453
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h2__y1m1_logL_Intercept	0.54260407797625	0.53062622	0.0995715887997997	0.0926205350070001	0.403970056	0.7223511565
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h1__y1m1_logA_Intercept	0.666694361275228	0.504264915	0.606386902694606	0.442791774096	0.05461436645	1.84713424
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h2__y1m1_logA_Intercept	0.296276832004039	0.283321385	0.147263160477358	0.136525317369	0.0688630277	0.556232804
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h1__y1m1_logk_Intercept	0.775734263701014	0.54157912	0.763258980155329	0.598547584719	0.03382871215	2.30381646
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h2__y1m1_logk_Intercept	0.270504808864454	0.25447454	0.15956218929844	0.145302472455	0.03932921635	0.5569627005
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h1__y2_logL_Intercept	0.728066695303865	0.522665295	0.704805194940611	0.498622012644	0.0567934142	2.096942375
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h2__y2_logL_Intercept	0.469289609534656	0.40851003	0.272101894914327	0.169058839425	0.1247047645	1.0023574
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h1__y2_logA_Intercept	0.541506259531265	0.312709795	0.641855924780539	0.3339047990439	0.0233183583	1.878289365
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h2__y2_logA_Intercept	0.44265683207029	0.34712904	0.364178755526523	0.232154121906	0.04874411125	1.191735075
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h1__y2_logk_Intercept	0.723624772958554	0.49612689	0.739539819005117	0.504474094299	0.0366654709	2.247422165
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	sd_h2__y2_logk_Intercept	0.485190345879325	0.44498089	0.32587831526181	0.327236847798	0.0484382773	1.05696481
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	shape_y1m1	3.405134319675	3.40499975	0.138079632774309	0.13730417904	3.181992885	3.63679547
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	shape_y2	5.5742008789125	5.5573856	0.365232595745732	0.36278614134	5.00291712	6.21400884
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y1m1_logL_Intercept	-1.317779260372	-1.27349925	0.331647006409356	0.27373725645	-1.91903914	-0.865903214
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y1m1_logA_Intercept	-0.389799225275081	-0.332890165	0.414644106392058	0.3743015170377	-1.159389145	0.170636783
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y1m1_logk_Intercept	1.6433877849375	1.64906315	0.160957627163874	0.15864183237	1.36917625	1.899196255
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y2_logL_Intercept	-1.83615484686	-1.7154735	0.644414695952834	0.63678463191	-3.04717216	-1.00532213
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y2_logA_Intercept	-0.991291846100156	-0.949305655	0.383390094575325	0.340319236068	-1.68235596	-0.450263565500001
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	b_y2_logk_Intercept	0.282168148667954	0.227682285	0.461547181620029	0.493179047046	-0.363521516	1.114840615
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	sd_h1__y1m1_logL_Intercept	0.618763161105	0.52974501	0.342451508686	0.234984716652	0.271762346	1.27532404
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	sd_h1__y1m1_logA_Intercept	0.67236328710378	0.559964815	0.496269652885947	0.398695091403	0.1081680415	1.608685395
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	sd_h1__y2_logL_Intercept	0.8926450536113	0.71857748	0.63945532836896	0.454794451503	0.253567316	2.067260635
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	sd_h1__y2_logA_Intercept	0.738326404288254	0.600641045	0.58101203125497	0.453632626839	0.103103263	1.819146395
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	shape_y1m1	2.5642953162875	2.56357375	0.100830581809403	0.10079433861	2.400108275	2.73172666
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	shape_y2	4.25756438625	4.2511202	0.258605859588921	0.26063225853	3.84659414	4.695249035
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	b_y1m1_logL_Intercept	-1.55338562496813	-1.4768904	0.442054176184047	0.36716114568	-2.39104319	-0.9603924895
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	b_y1m1_logA_Intercept	-0.263355834339484	-0.209990155	0.424902943669976	0.3733518761553	-1.04390665	0.331429812999999
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	b_y1m1_logk_Intercept	0.963680168415228	1.05982135	0.728542722064431	0.747565334166	-0.3664191145	1.981534915
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	b_y2_logL_Intercept	-2.08259836281375	-1.99010805	0.652081186813191	0.65374868937	-3.265954975	-1.185958545
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	b_y2_logA_Intercept	-0.792140341771512	-0.75108222	0.277317532472305	0.21645707958	-1.2936383	-0.4195678595
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	b_y2_logk_Intercept	-0.0866099260403556	-0.10967223	0.571559086929393	0.53599170177	-1.001998385	0.8770585055
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	sd_h1__y1m1_logL_Intercept	0.800553073312175	0.677709845	0.515856804105537	0.372263773035	0.2148089235	1.76875438
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	sd_h1__y1m1_logA_Intercept	0.80646315270996	0.66111185	0.563850685154167	0.427469258769	0.2048910625	1.888464665
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	sd_h1__y1m1_logk_Intercept	1.461440165675	1.28797	0.817385632263405	0.697769210901	0.507480928	3.030388665
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	sd_h1__y2_logL_Intercept	0.695746032159651	0.530063555	0.646113959592249	0.472796506875	0.0480414241	1.931820685
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	sd_h1__y2_logA_Intercept	0.364808998430808	0.263285485	0.360596902938418	0.225629658912	0.0280300454	1.040182145
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	sd_h1__y2_logk_Intercept	1.16325528742888	1.03221595	0.737695665614725	0.608735218728	0.209696853	2.541062395
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	shape_y1m1	2.6078441411125	2.60710415	0.102616543659686	0.10263046458	2.4396633	2.7782863
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	shape_y2	4.281256198325	4.27732935	0.257714267818824	0.25722687459	3.860202815	4.70694747
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y1m1_logL_Intercept	-1.24781007584375	-1.20083825	0.309599869615276	0.24774742671	-1.828486	-0.841237592500001
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y1m1_logA_Intercept	0.0174312723681267	0.0389330915	0.261885660899088	0.2312133328869	-0.4355056575	0.3997739335
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y1m1_logk_Intercept	1.925829822325	1.92702205	0.114757380856116	0.1144040877	1.73546221	2.109924415
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y2_logL_Intercept	-1.63645566694	-1.47336815	0.629018523826376	0.51563530725	-2.901235915	-0.9395605425
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y2_logA_Intercept	-0.969051333290925	-0.957570415	0.297615998739622	0.276595761141	-1.473483445	-0.511390880000001
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y2_logk_Intercept	0.534378192254776	0.50800903	0.591151279284048	0.6995341416777	-0.3677507395	1.502897005
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h1__y1m1_logL_Intercept	0.495126696495403	0.413896315	0.351310881605579	0.253277094756	0.1029787675	1.167779245
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h2__y1m1_logL_Intercept	0.48704829307875	0.47538592	0.092722156245191	0.086570948793	0.3580899195	0.655160271
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h1__y1m1_logA_Intercept	0.28848716790069	0.21615607	0.273640755640806	0.189285076491	0.0195682011	0.7890944165
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h2__y1m1_logA_Intercept	0.343661969152	0.329265335	0.117306151694346	0.106886238228	0.1825736315	0.5525196665
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h1__y2_logL_Intercept	0.443469356266187	0.32192344	0.431944756912513	0.288409792524	0.03421113365	1.287431995
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h2__y2_logL_Intercept	0.499876731025114	0.44268888	0.238585108540446	0.164883963846	0.2528786985	0.961910543499999
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h1__y2_logA_Intercept	0.281294499733951	0.19918736	0.287590906577807	0.1949563669368	0.0151753838	0.8264886925
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h2__y2_logA_Intercept	0.479568126696804	0.424778895	0.293520302253176	0.239962835259	0.0734494949	1.04124561
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	shape_y1m1	3.3885639419	3.38789125	0.140454910158692	0.14202722373	3.16000858	3.62040147
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	shape_y2	5.525719009575	5.5173107	0.351438265732267	0.353054354940001	4.967666665	6.135706795
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	b_y1m1_logL_Intercept	-1.2594539513375	-1.21212815	0.328385779984247	0.24753674925	-1.863011225	-0.839367454500001
