model	model_structure	hierarchy	k_depth	family	response	x	predicted_mean	predicted_median	predicted_sd	pred_q025	pred_q05	pred_q10	pred_q25	pred_q50	pred_q75	pred_q90	pred_q95	pred_q975	is_best_gamma_model
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.536484607413482	1.37515183207212	1.37508733955609	0.0084872297254816	1.35902776061802	1.36145892809176	1.36425558949125	1.36935614847592	1.37508733955609	1.38085051298527	1.38623576214513	1.38941170763595	1.39201572127327	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.546856177110403	1.374062647229	1.37391949747744	0.00856490224538862	1.35778775985894	1.36026599368056	1.36308981895329	1.36818381291656	1.37391949747744	1.37975239846589	1.38526570521864	1.38849364148966	1.39115511717925	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.557227746807324	1.37306485503083	1.37292780946796	0.00864780223085144	1.35667654321526	1.35915709826634	1.36198822984625	1.36712771356609	1.37292780946796	1.37880871028958	1.38438937177494	1.3877356416587	1.39032307206902	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.567599316504245	1.37215069602881	1.37204295544824	0.00873430581693373	1.35561840575225	1.3580909629804	1.36100461981996	1.36610680482143	1.37204295544824	1.37795358125809	1.38353789618709	1.38685205733399	1.38946172221837	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.577970886201167	1.37131307724232	1.37119507599258	0.00882303108128873	1.35465343351591	1.35709057146765	1.36010973269969	1.36521999587468	1.37119507599258	1.37716966351271	1.38283958782065	1.38622815267446	1.38879545368045	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.588342455898088	1.37054551425839	1.37042497013709	0.00891281523988639	1.35360688674204	1.35614525299319	1.3592053870562	1.364403383226	1.37042497013709	1.37648682286866	1.3822426132534	1.38557714350066	1.38824841450464	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.598714025595009	1.3698420784184	1.36971835685502	0.00900269099654627	1.35271564200113	1.3553929136107	1.35841070587507	1.36368171542512	1.36971835685502	1.37584295770421	1.38164350291559	1.38509448930214	1.38773099563379	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.60908559529193	1.36919734863984	1.36910463028367	0.00909186328904598	1.35180667918014	1.35462218545378	1.35758291500756	1.36298140173872	1.36910463028367	1.37524639489571	1.38113434122253	1.38460822786018	1.3872439681846	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.619457164988852	1.3686063674619	1.36849601120053	0.00917968723568657	1.35101715746595	1.35386428875716	1.35684578461527	1.36233732159106	1.36849601120053	1.37472872703045	1.38067342593178	1.38417360474049	1.38676692979896	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.629828734685773	1.3680646009405	1.36796539659175	0.00926564775313822	1.35038909281646	1.35317309675928	1.35620866402871	1.36174392413513	1.36796539659175	1.37427070203307	1.38022979093508	1.38376429017648	1.38638609284519	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.640200304382694	1.36756790205172	1.36748719428478	0.00934934107593233	1.34976999330855	1.35258795745915	1.35557972384628	1.36117481283693	1.36748719428478	1.37385430229591	1.37980448417194	1.38340848858364	1.38598798600225	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.650571874079615	1.36711247729339	1.36704383258013	0.00943045824250332	1.34910676450258	1.35191119447308	1.35503676285311	1.36065817864844	1.36704383258013	1.37345321060185	1.37939673762449	1.38306554043197	1.38569594220307	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.660943443776536	1.36669485620231	1.36666594201203	0.00950877050469717	1.34846627823484	1.35130555611748	1.35451864216964	1.36014684404364	1.36666594201203	1.37307048400117	1.37906587084957	1.38277667915588	1.38541566454859	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.671315013473458	1.36631186352948	1.3662869736315	0.00958411655183879	1.3479373699281	1.35078611375453	1.35401572880761	1.35971324049019	1.3662869736315	1.37273828645769	1.37877322650918	1.38251401104356	1.38519384838653	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.681686583170379	1.36596059383922	1.36596192039179	0.00965639140439758	1.34739888931101	1.35029563454341	1.3535902328291	1.35929058980424	1.36596192039179	1.37244336685125	1.37850764153922	1.38223290826978	1.38501947253948	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.6920581528673	1.3656383883186	1.36561024315913	0.00972553681649347	1.34690861010096	1.34989878129732	1.35311553848628	1.35898083722767	1.36561024315913	1.3721667839292	1.378260499626	1.38203894741566	1.38481570720486	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.702429722564221	1.36534281360264	1.36530860636853	0.00979153302392101	1.34651522492412	1.34948241397467	1.35271483508175	1.35869886657578	1.36530860636853	1.37193702729857	1.37800828064657	1.38183706638092	1.38459384955651	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.712801292261142	1.36507164243814	1.36503760364829	0.00985439168001939	1.34607561309147	1.34911947043288	1.35239539572637	1.35839634831707	1.36503760364829	1.37172252696314	1.37780982153507	1.38161077963291	1.38449095069428	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.723172861958064	1.36482283602473	1.36477761235516	0.00991414983209882	1.34567638991618	1.34877909644106	1.35209157962898	1.35810077220651	1.36477761235516	1.37153708874056	1.37764804395998	1.38142625063626	1.38435146240822	FALSE
