split_variable	split_value	model	model_structure	hierarchy	k_depth	response	n	n_stands	observed_mean	predicted_mean	mean_residual	mean_abs_error	rmse	residual_sd	lm_intercept_observed_vs_predicted	lm_slope_observed_vs_predicted	lm_r2_observed_vs_predicted	correlation_observed_predicted
dominant_genus	Pinus	ftp_k0_gamma	ftp_k0	ftp	k0	befr.st	192	79	0.412204109157898	0.386229196593183	0.0259749125647155	0.125331694889026	0.179411374792644	0.177985220603421	0.0484279085602344	0.941866134943783	0.0731377252092071	0.27043987355641
dominant_genus	Pinus	ftp_k1_gamma	ftp_k1	ftp	k1	befr.st	192	79	0.412204109157898	0.386888529155431	0.0253155800024674	0.125728353923827	0.179506200338113	0.178176727005212	0.0708762004705754	0.882238378667969	0.0721483483935041	0.268604445967493
dominant_genus	Pinus	ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	192	79	0.412204109157898	0.409742739104341	0.0024613700535573	0.121521519412019	0.16309472960001	0.163502499081176	-0.0234585892191019	1.06325910577285	0.218376943356059	0.467308188839078
dominant_genus	Pinus	ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	befr.st	192	79	0.412204109157898	0.409223504290694	0.00298060486720445	0.121349705598762	0.163016787678922	0.16341565382024	-0.0259533215032077	1.07070445872987	0.219391576063412	0.468392544841837
dominant_genus	Pinus	ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	befr.st	192	79	0.412204109157898	0.409463162348922	0.00274094680897599	0.120682231064019	0.162640245461025	0.16304229107376	-0.0537880413862896	1.13805634643903	0.225317893402893	0.474676619819107
dominant_genus	Pinus	PFT_k0_gamma	PFT_k0	PFT	k0	befr.st	192	79	0.412204109157898	0.386617358097576	0.0255867510603219	0.12557950121942	0.180341061857719	0.178983423993862	0.0784005219730665	0.863395241298464	0.0640334229569154	0.253048262110048
dominant_genus	Pinus	PFT_k1_gamma	PFT_k1	PFT	k1	befr.st	192	79	0.412204109157898	0.387970452719409	0.024233656438489	0.126036803779663	0.18045810927853	0.179291055120093	0.0898087884519738	0.830979056384712	0.0617598723718508	0.248515336291044
dominant_genus	Pinus	PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	befr.st	192	79	0.412204109157898	0.409848465910294	0.00235564324760448	0.121536957516556	0.163406608603094	0.16381679159102	-0.0258901897379516	1.06891774725281	0.215488915096297	0.464207836099626
dominant_genus	Pinus	PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	befr.st	192	79	0.412204109157898	0.409675157162783	0.00252895199511508	0.121545719462348	0.163389915761552	0.163797455744192	-0.0261523795870671	1.0700099361182	0.215701955382693	0.464437245903784
dominant_genus	Pinus	PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	befr.st	192	79	0.412204109157898	0.409542824923369	0.00266128423452885	0.120818834826652	0.162866880943076	0.163270876122846	-0.0504334298266035	1.12964386342519	0.222753011186752	0.471967171725696
dominant_genus	Pinus	sp_k0_gamma	sp_k0	sp	k0	befr.st	192	79	0.412204109157898	0.411437830613772	0.000766278544126762	0.121583223382401	0.163121500379814	0.163546157998414	-0.025842196197616	1.06467192066915	0.217990396375542	0.46689441673203
dominant_genus	Pinus	sp_k1_gamma	sp_k1	sp	k1	befr.st	192	79	0.412204109157898	0.411596854963037	0.000607254194861685	0.120939620306782	0.162669124223957	0.163093267279307	-0.0466916198361832	1.11491553800938	0.223894154249579	0.473174549452502
dominant_genus	Pinus	base_k0_gamma	base_k0	base	k0	beft.st	192	79	1.84064303399423	1.90569635423004	-0.0650533202358158	0.278726088957695	0.363765559665873	0.35883714168065	-0.148773819251346	1.0439317097027	0.315096163686069	0.561334270899318
dominant_genus	Pinus	ftp_k0_gamma	ftp_k0	ftp	k0	beft.st	192	79	1.84064303399423	1.80943228149043	0.0312107525037928	0.262320860143682	0.353730842703012	0.353272423671791	0.132113458162695	0.944235157794473	0.336807829610707	0.580351470757771
dominant_genus	Pinus	ftp_k1_gamma	ftp_k1	ftp	k1	beft.st	192	79	1.84064303399423	1.80955544308523	0.0310875909089963	0.263117929043544	0.353590726340787	0.353142311328036	0.112326749454354	0.955105460373822	0.336866667693156	0.580402160310552
dominant_genus	Pinus	ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	beft.st	192	79	1.84064303399423	1.86569360491198	-0.0250505709177485	0.23612929125793	0.304143694285786	0.303902749399967	0.074715593215874	0.946525965533163	0.509975721187029	0.71412584408284
dominant_genus	Pinus	ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	beft.st	192	79	1.84064303399423	1.8653536882954	-0.0247106543011745	0.235973143749445	0.304108940593862	0.303895762751693	0.0788700708808144	0.944471267925258	0.510134007213426	0.714236660507864
dominant_genus	Pinus	ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	beft.st	192	79	1.84064303399423	1.86390232138547	-0.0232592873912404	0.233164546793254	0.30044669489817	0.300328150623334	-0.00136761315139929	0.988254924097328	0.519919378369261	0.721054351882895
dominant_genus	Pinus	PFT_k0_gamma	PFT_k0	PFT	k0	beft.st	192	79	1.84064303399423	1.81353274416848	0.0271102898257525	0.268431673298775	0.358086299873001	0.357992069186786	-0.0215326655633008	1.02682220960469	0.317979871849592	0.563897040114232
dominant_genus	Pinus	PFT_k1_gamma	PFT_k1	PFT	k1	beft.st	192	79	1.84064303399423	1.81754993422896	0.0230930997652727	0.266410584283671	0.356434155885074	0.356615174665674	0.105241800762595	0.95480250668757	0.323726198544187	0.568969417934028
