model	variable	mean	median	sd	mad	q5	q95
ftp_sp_k0	sd_h1__y2_logL_Intercept	0.626931085405085	0.44092587	0.62537487540412	0.406173629736	0.05104660775	1.825749735
ftp_sp_k0	sd_h2__y2_logL_Intercept	0.509404019282694	0.44928271	0.234742815844978	0.156976753962	0.2697068445	0.957377104999998
ftp_sp_k0	sd_h1__y2_logA_Intercept	0.416620994038976	0.27083039	0.465298605819644	0.2770593375438	0.0224254399	1.287249095
ftp_sp_k0	sd_h2__y2_logA_Intercept	0.467604964214987	0.418299815	0.310301065456112	0.274170197889	0.0569743566	1.03277603
ftp_sp_k0	shape_y1m1	3.393494647975	3.38994	0.140280370705573	0.14112016905	3.16579414	3.626737305
ftp_sp_k0	shape_y2	5.5334017385375	5.52960105	0.349288179166294	0.35228303229	4.96804307	6.112828905
ftp_sp_k1	b_y1m1_logL_Intercept	-1.39193608515325	-1.28118	0.460368348073852	0.32950362459	-2.31286974	-0.8562656265
ftp_sp_k1	b_y1m1_logA_Intercept	-0.145674700289349	-0.0575196195	0.457375477262854	0.3700874874753	-1.044009365	0.439320796
ftp_sp_k1	b_y1m1_logk_Intercept	1.43972032893912	1.6780784	0.663590846419703	0.45932845728	0.0510418055500001	2.12339642
ftp_sp_k1	b_y2_logL_Intercept	-1.63962009584525	-1.5047732	0.622834102159569	0.55724358669	-2.85401193	-0.875311212
ftp_sp_k1	b_y2_logA_Intercept	-0.94445725196586	-0.94719141	0.395814002057959	0.340184378772	-1.571258325	-0.309660435
ftp_sp_k1	b_y2_logk_Intercept	0.550090503728737	0.552433975	0.663844664585801	0.7161542537289	-0.520454366	1.61913125
ftp_sp_k1	sd_h1__y1m1_logL_Intercept	0.588419954310269	0.410388125	0.573530523884731	0.387393972903	0.0385666947	1.69152659
ftp_sp_k1	sd_h2__y1m1_logL_Intercept	0.54756841532375	0.53414303	0.0997357451978642	0.091272799716	0.41003074	0.7305549185
ftp_sp_k1	sd_h1__y1m1_logA_Intercept	0.588424603071471	0.41195206	0.584053754130812	0.401644820472	0.0350951323	1.73603394
ftp_sp_k1	sd_h2__y1m1_logA_Intercept	0.347572849284625	0.331768915	0.116376698417583	0.103060589079	0.189193501	0.561480327
ftp_sp_k1	sd_h1__y1m1_logk_Intercept	0.71910879695506	0.45709676	0.750444079131595	0.5339071980459	0.02890164365	2.237677865
ftp_sp_k1	sd_h1__y2_logL_Intercept	0.651810065021034	0.46742442	0.62100367283975	0.42560812875	0.04921161545	1.90258466
ftp_sp_k1	sd_h2__y2_logL_Intercept	0.47025553263525	0.41131239	0.234004469739139	0.131596502625	0.2579059845	0.867962548499999
ftp_sp_k1	sd_h1__y2_logA_Intercept	0.493949648668263	0.33747546	0.522710366271836	0.348546391032	0.02879457645	1.473737165
ftp_sp_k1	sd_h2__y2_logA_Intercept	0.665948803739941	0.53478408	0.497288377567575	0.403241002458	0.0685488089	1.642782375
ftp_sp_k1	sd_h1__y2_logk_Intercept	0.730183773717155	0.53898269	0.679102726222209	0.525779019234	0.04318513345	2.03411586
ftp_sp_k1	shape_y1m1	3.39048831035	3.38697095	0.136710243771145	0.13923556206	3.17096634	3.62015623
ftp_sp_k1	shape_y2	5.58242851925	5.56874555	0.371021804722289	0.36662518578	4.994439605	6.21650468
ftp_sp_k2	b_y1m1_logL_Intercept	-1.404105529218	-1.29645365	0.456747599725499	0.32590520613	-2.31663164	-0.869536636
ftp_sp_k2	b_y1m1_logA_Intercept	-0.178638288388998	-0.087241017	0.486810958806338	0.430294249287	-1.12014065	0.453735356
ftp_sp_k2	b_y1m1_logk_Intercept	1.37676868188914	1.58663865	0.681858253642968	0.54548441892	0.00425581000000002	2.133479165
ftp_sp_k2	b_y2_logL_Intercept	-1.89452939958125	-1.80683985	0.679743060431241	0.68349068319	-3.135634715	-0.9670896865
ftp_sp_k2	b_y2_logA_Intercept	-0.866338306597457	-0.869069405	0.390511377177566	0.323977448067	-1.47889053	-0.2141544875
ftp_sp_k2	b_y2_logk_Intercept	0.256119109300245	0.1908517	0.681905649680375	0.705585263124	-0.7470845905	1.46586625
ftp_sp_k2	sd_h1__y1m1_logL_Intercept	0.581187949001909	0.40349625	0.586386233301327	0.379415286873	0.04357503495	1.70988453
ftp_sp_k2	sd_h2__y1m1_logL_Intercept	0.54260407797625	0.53062622	0.0995715887997997	0.0926205350070001	0.403970056	0.7223511565
ftp_sp_k2	sd_h1__y1m1_logA_Intercept	0.666694361275228	0.504264915	0.606386902694606	0.442791774096	0.05461436645	1.84713424
ftp_sp_k2	sd_h2__y1m1_logA_Intercept	0.296276832004039	0.283321385	0.147263160477358	0.136525317369	0.0688630277	0.556232804
ftp_sp_k2	sd_h1__y1m1_logk_Intercept	0.775734263701014	0.54157912	0.763258980155329	0.598547584719	0.03382871215	2.30381646
ftp_sp_k2	sd_h2__y1m1_logk_Intercept	0.270504808864454	0.25447454	0.15956218929844	0.145302472455	0.03932921635	0.5569627005
ftp_sp_k2	sd_h1__y2_logL_Intercept	0.728066695303865	0.522665295	0.704805194940611	0.498622012644	0.0567934142	2.096942375
ftp_sp_k2	sd_h2__y2_logL_Intercept	0.469289609534656	0.40851003	0.272101894914327	0.169058839425	0.1247047645	1.0023574
ftp_sp_k2	sd_h1__y2_logA_Intercept	0.541506259531265	0.312709795	0.641855924780539	0.3339047990439	0.0233183583	1.878289365
ftp_sp_k2	sd_h2__y2_logA_Intercept	0.44265683207029	0.34712904	0.364178755526523	0.232154121906	0.04874411125	1.191735075
ftp_sp_k2	sd_h1__y2_logk_Intercept	0.723624772958554	0.49612689	0.739539819005117	0.504474094299	0.0366654709	2.247422165
ftp_sp_k2	sd_h2__y2_logk_Intercept	0.485190345879325	0.44498089	0.32587831526181	0.327236847798	0.0484382773	1.05696481
ftp_sp_k2	shape_y1m1	3.405134319675	3.40499975	0.138079632774309	0.13730417904	3.181992885	3.63679547
ftp_sp_k2	shape_y2	5.5742008789125	5.5573856	0.365232595745732	0.36278614134	5.00291712	6.21400884
