model	model_structure	hierarchy	k_depth	response	estimate_level	application_group	parameter	mean	median	sd	q025	q05	q95	q975
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.NS	L	0.330066424774298	0.297379534119515	0.229510379017854	0.0272629322394906	0.0504881992220781	0.700036131620525	0.847096581667282
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.PxT	A	0.314425862028485	0.293355814467191	0.200637349326901	0.0705556366944236	0.102606048633784	0.571715396109522	0.736803792694398
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.PxT	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.PxT	L	0.138602706326434	0.145017858318281	0.062965636875804	0.0165319014060322	0.0284504177809198	0.23297571605582	0.248894006274638
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QAc	A	0.356120456771443	0.342203312348626	0.157317505932581	0.0978818239046781	0.130915824137131	0.617215993359081	0.665296100154952
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QAc	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QAc	L	0.303905708979381	0.32522895476179	0.111491780444154	0.0339437148487234	0.0658093632106383	0.449521365971845	0.468532665319714
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QAt	A	0.259730664550198	0.258993114829119	0.102997661047067	0.0656800183871772	0.0904454201856619	0.426845775427968	0.453695342848267
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QAt	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QAt	L	0.202331791994698	0.21199047676419	0.0849220986076781	0.025655922239086	0.0442026811212012	0.326494686598345	0.343054780384144
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QG	A	0.514803891306698	0.392619955342765	0.736873442563179	0.104214229324229	0.142465263596129	1.17868922231757	1.3943053734398
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QG	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QG	L	0.503759817520678	0.534572143858574	0.167918677432586	0.0490920292226286	0.115792405794032	0.7215460224786	0.760869138566978
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QM	A	0.754386332569832	0.654858522437022	0.551082114354451	0.22140601639892	0.257684761745712	1.62859516390899	2.06966948125559
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QM	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QM	L	0.386742607352184	0.416138212050815	0.147444609639031	0.0398463989606017	0.079006139178104	0.583753816801773	0.611661330796535
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QS	A	0.614093927103393	0.554458034121267	0.345954405797889	0.201568275517054	0.245115593871938	1.15245140845443	1.37155705439664
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QS	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QS	L	0.381135725251238	0.406856095887644	0.149549190666728	0.036906128579892	0.0755856030745237	0.588498568531538	0.61591552089672
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QV	A	0.313649846897156	0.303030264535889	0.14815595730624	0.0654895366964637	0.0946460577192708	0.571669624285977	0.621119157296015
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QV	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_B.QV	L	0.30947238275121	0.332694407346176	0.107739571378617	0.040846933831303	0.0839503411987761	0.44727973707124	0.461532310093441
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.CJ	A	0.36453433533102	0.362787124133334	0.126973384603217	0.132120897988385	0.165869143808686	0.557520216600817	0.640683620549878
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.CJ	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.CJ	L	0.170386568177351	0.177547760133243	0.084745585337098	0.0122937114086537	0.0257720856575471	0.298253510758242	0.3136929121507
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.CO	A	0.377530331910592	0.364269505737357	0.115963982300539	0.193064659951081	0.223992503170193	0.571449978840011	0.662549811388655
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.CO	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.CO	L	0.12258231134453	0.126773898397881	0.0643028926050702	0.00986143459604962	0.0180728918087692	0.221692777989053	0.234565722291733
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.LL	A	0.440391715644158	0.427949709002226	0.146405365754644	0.202289043934892	0.239544771291931	0.695892763236585	0.796047995871499
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.LL	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.LL	L	0.180316518834099	0.188072706535386	0.0892893341156865	0.0144287563574555	0.028123352325305	0.315681764244229	0.333433452318894
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.PD	A	0.291988644065197	0.296980868431152	0.108844104940736	0.0830645718837758	0.10765713439051	0.460974558778749	0.482539121604359
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.PD	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.PD	L	0.197575851545384	0.213990494079941	0.0911770609324091	0.0168634234491788	0.0315760901624213	0.320488449879009	0.332055315582752
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.PDe	A	0.36720662630816	0.363383657269068	0.118029308060766	0.148953246674848	0.185502655905242	0.558266954459453	0.602775744445955
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befr.st	group	mono_N.PDe	k	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574
