model	model_structure	hierarchy	k_depth	family	response	response_offset	h1	h2	ftp	PFT	sp_code	application_group	is_best_gamma_model	L_mean	L_median	L_sd	L_q025	L_q05	L_q95	L_q975	A_mean	A_median	A_sd	A_q025	A_q05	A_q95	A_q975	k_mean	k_median	k_sd	k_q025	k_q05	k_q95	k_q975	equation
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.QM	mono_B	NA	QM	mono_B.QM	TRUE	0.386742607352184	0.416138212050815	0.147444609639031	0.0398463989606017	0.079006139178104	0.583753816801773	0.611661330796535	0.754386332569832	0.654858522437022	0.551082114354451	0.22140601639892	0.257684761745712	1.62859516390899	2.06966948125559	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.QS	mono_B	NA	QS	mono_B.QS	TRUE	0.37359262474787	0.372471796173323	0.0396414321247972	0.299000207169867	0.310106982415698	0.440407044977123	0.45503752997608	0.929015799149713	0.900477509462645	0.310340138114152	0.409504899416918	0.484393130787808	1.48522598217542	1.63076060094749	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.QS	mono_B	NA	QS	mono_B.QS	TRUE	0.381135725251238	0.406856095887644	0.149549190666728	0.036906128579892	0.0755856030745237	0.588498568531538	0.61591552089672	0.614093927103393	0.554458034121267	0.345954405797889	0.201568275517054	0.245115593871938	1.15245140845443	1.37155705439664	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.QV	mono_B	NA	QV	mono_B.QV	TRUE	0.22972538804944	0.229494762409634	0.0209558377394403	0.189225931848477	0.195742076254858	0.264286908351398	0.2713336190843	0.967208334827445	0.931023547979234	0.330420944807393	0.457727632387103	0.513123266636171	1.54834793890733	1.7199547769338	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.QV	mono_B	NA	QV	mono_B.QV	TRUE	0.30947238275121	0.332694407346176	0.107739571378617	0.040846933831303	0.0839503411987761	0.44727973707124	0.461532310093441	0.313649846897156	0.303030264535889	0.14815595730624	0.0654895366964637	0.0946460577192708	0.571669624285977	0.621119157296015	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_N	mono_N.CJ	mono_N	NA	CJ	mono_N.CJ	TRUE	0.235143448223264	0.234224458812922	0.0266439658437605	0.184854593374449	0.192570704903379	0.280120261525667	0.289849305819291	1.19326642166782	1.16467334776053	0.289827815345013	0.714124850063407	0.771136698007364	1.71533301837881	1.84741251970811	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_N	mono_N.CJ	mono_N	NA	CJ	mono_N.CJ	TRUE	0.170386568177351	0.177547760133243	0.084745585337098	0.0122937114086537	0.0257720856575471	0.298253510758242	0.3136929121507	0.36453433533102	0.362787124133334	0.126973384603217	0.132120897988385	0.165869143808686	0.557520216600817	0.640683620549878	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_N	mono_N.CO	mono_N	NA	CO	mono_N.CO	TRUE	0.24088109947785	0.239719150789118	0.0260912630621188	0.192990095434491	0.200105395405674	0.285675620281559	0.294883475094264	1.37710727461373	1.33596244620029	0.346380214175403	0.816628765017341	0.892131173976469	1.99303964924911	2.17763120157715	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_N	mono_N.CO	mono_N	NA	CO	mono_N.CO	TRUE	0.12258231134453	0.126773898397881	0.0643028926050702	0.00986143459604962	0.0180728918087692	0.221692777989053	0.234565722291733	0.377530331910592	0.364269505737357	0.115963982300539	0.193064659951081	0.223992503170193	0.571449978840011	0.662549811388655	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_N	mono_N.LL	mono_N	NA	LL	mono_N.LL	TRUE	0.246070584910591	0.24583800703042	0.0210241686277748	0.206003217112817	0.21236144744088	0.281564733662511	0.288962895660772	1.13022833907396	1.10942654411553	0.245768448547901	0.706640794003956	0.764247715372942	1.57185035421567	1.6784919047837	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
