stand_id	sp_code	plot	age	d	h	Bst	Bbr	Bf	Bcr	Vst	Vst.5	ba	befa.v	befa.st	beft.v	beft.st	bwd	PFT	Genus	Family	ft1.forest_type	ft1.dominant_prop	sdi	sdi.1	sdi.2	sdi.3	sdi_max	rsd	rsd.1	rsd.2
123	PK	9	30	0.165	11.81	46.187	21.967	10.52	NA	0.130027	0.125063	0.0213824649984955	605.058949295146	1.70337973888757	NA	NA	0.355210840825367	ENF	Pinus	Pinaceae	mono_N	1	186.640294332423	186.640294332423	NA	NA	375.5306229599	0.49700419332341	0.49700419332341	NA
123	PK	9	29	0.179	12	59.9	20.579	28.325	18.68	0.148857	0.092019	0.0251649425534176	730.929684193555	1.81642737896494	856.419248003117	2.12828046744574	0.402399618425737	ENF	Pinus	Pinaceae	mono_N	1	186.640294332423	186.640294332423	NA	NA	375.5306229599	0.49700419332341	0.49700419332341	NA
123	PK	9	32	0.192	13.6	81.862	37.19	20.48	NA	0.188313	0.375351	0.0289529178954835	740.957873327917	1.7044782683052	NA	NA	0.434712420279004	ENF	Pinus	Pinaceae	mono_N	1	186.640294332423	186.640294332423	NA	NA	375.5306229599	0.49700419332341	0.49700419332341	NA
123	PK	9	33	0.229	14.4	111.191	51.703	24.484	NA	0.271805	0.086046	0.0411870650867256	689.38393333456	1.68519034813969	NA	NA	0.409083718106731	ENF	Pinus	Pinaceae	mono_N	1	186.640294332423	186.640294332423	NA	NA	375.5306229599	0.49700419332341	0.49700419332341	NA
123	PK	9	20	0.211	13.6	80.785	45.542	22.411	34.455	0.209283	0.316192	0.0349667116326178	710.702732663427	1.84115863093396	875.336267159779	2.26766107569475	0.386008419221819	ENF	Pinus	Pinaceae	mono_N	1	186.640294332423	186.640294332423	NA	NA	375.5306229599	0.49700419332341	0.49700419332341	NA
124	PK	7	28	0.183	11.15	56.793	37.739	18.213	NA	0.146157	0.40398	0.0263021990940171	771.396511970005	1.98519183702217	NA	NA	0.388575299164597	ENF	Pinus	Pinaceae	mono_N	1	208.326791202586	208.326791202586	NA	NA	375.5306229599	0.554753137202426	0.554753137202426	NA
124	PK	7	38	0.236	16.4	129.955	65.748	19.888	35.674	0.355323	0.716962	0.0437435361085843	606.746537657287	1.65896656534954	707.145329742235	1.93347697279828	0.365737652783524	ENF	Pinus	Pinaceae	mono_N	1	208.326791202586	208.326791202586	NA	NA	375.5306229599	0.554753137202426	0.554753137202426	NA
124	PK	7	29	0.152	10.45	37.205	14.543	6.389	14.895	0.102116	1.033889	0.0181458391671346	569.323122723178	1.56261255207633	715.186650475929	1.96296196747749	0.364340553879901	ENF	Pinus	Pinaceae	mono_N	1	208.326791202586	208.326791202586	NA	NA	375.5306229599	0.554753137202426	0.554753137202426	NA
124	PK	7	37	0.29	14.1	171.112	128.327	40.86	NA	0.418542	0.524486	0.0660519855417254	813.05818770876	1.98875005844125	NA	NA	0.408828743590846	ENF	Pinus	Pinaceae	mono_N	1	208.326791202586	208.326791202586	NA	NA	375.5306229599	0.554753137202426	0.554753137202426	NA
124	PK	7	29	0.139	12.5	42.533	11.845	9.914	NA	0.104418	0.342919	0.0151746779150021	615.717596582965	1.51157924435144	NA	NA	0.407333984562049	ENF	Pinus	Pinaceae	mono_N	1	208.326791202586	208.326791202586	NA	NA	375.5306229599	0.554753137202426	0.554753137202426	NA
125	PK	13	49	0.298	18.4	191.413	40.74	48.291	NA	0.579255	0.84227	0.069746498502347	484.146015140137	1.46512514823967	NA	NA	0.330446867096529	ENF	Pinus	Pinaceae	mono_N	1	304.099593316556	304.099593316556	NA	NA	375.5306229599	0.80978640548584	0.80978640548584	NA
125	PK	13	47	0.231	17.75	142.032	16.214	30.252	NA	0.378256	0.720183	0.0419096313970512	498.334461317203	1.32715162780219	NA	NA	0.375491730468254	ENF	Pinus	Pinaceae	mono_N	1	304.099593316556	304.099593316556	NA	NA	375.5306229599	0.80978640548584	0.80978640548584	NA
125	PK	13	48	0.251	18.24	129.768	30.663	31.137	71.043	0.463179	0.592879	0.0494808696922026	413.593880551579	1.47623451081931	566.975186698879	2.02369613464028	0.280168142338059	ENF	Pinus	Pinaceae	mono_N	1	304.099593316556	304.099593316556	NA	NA	375.5306229599	0.80978640548584	0.80978640548584	NA
125	PK	13	54	0.373	22.15	401.652	36.839	43.428	NA	1.146249	0.367796	0.109271661075324	420.431337344678	1.1998421519126	NA	NA	0.350405540157505	ENF	Pinus	Pinaceae	mono_N	1	304.099593316556	304.099593316556	NA	NA	375.5306229599	0.80978640548584	0.80978640548584	NA
125	PK	13	51	0.326	19.72	303.353	70.529	70.95	95.315	0.7851	0.334492	0.0834689752132272	566.592790727296	1.46638404762768	687.997707298433	1.78058895082626	0.386387721309387	ENF	Pinus	Pinaceae	mono_N	1	304.099593316556	304.099593316556	NA	NA	375.5306229599	0.80978640548584	0.80978640548584	NA
126	PK	11	42	0.318	16.4	219.737	52.466	70.797	NA	0.663418	0.316165	0.0794226038754036	517.019435710216	1.56095696218661	NA	NA	0.331219532783253	ENF	Pinus	Pinaceae	mono_N	1	305.00428585632	305.00428585632	NA	NA	375.5306229599	0.81219551005535	0.81219551005535	NA
126	PK	11	46	0.27	16.45	223.199	46.946	47.507	70.515	0.420495	0.226589	0.057255526111674	755.423964613134	1.42317841925815	923.119180965291	1.73910725406476	0.530800604049989	ENF	Pinus	Pinaceae	mono_N	1	305.00428585632	305.00428585632	NA	NA	375.5306229599	0.81219551005535	0.81219551005535	NA
126	PK	11	39	0.367	18.6	278.565	98.746	90.38	NA	0.936268	0.363969	0.105784493229839	499.526844877749	1.67892951375801	NA	NA	0.297526990135303	ENF	Pinus	Pinaceae	mono_N	1	305.00428585632	305.00428585632	NA	NA	375.5306229599	0.81219551005535	0.81219551005535	NA
126	PK	11	35	0.247	15.6	127.529	27.681	26.959	NA	0.382947	0.353862	0.0479163565507149	475.70290405722	1.42845156787868	NA	NA	0.333019974043405	ENF	Pinus	Pinaceae	mono_N	1	305.00428585632	305.00428585632	NA	NA	375.5306229599	0.81219551005535	0.81219551005535	NA
126	PK	11	49	0.344	17	298.642	86.568	96.814	136.263	0.791456	0.209727	0.0929408770638004	609.034488335422	1.61405294633709	781.201987223547	2.0703283530113	0.377332410140298	ENF	Pinus	Pinaceae	mono_N	1	305.00428585632	305.00428585632	NA	NA	375.5306229599	0.81219551005535	0.81219551005535	NA
127	PK	10	33	0.254	14.85	123.777	38.67	52.591	81.208	0.412242	0.055464	0.0506707479097498	521.630498590634	1.73730176042399	718.621586349765	2.39338487764286	0.30025324930502	ENF	Pinus	Pinaceae	mono_N	1	320.182016006214	320.182016006214	NA	NA	375.5306229599	0.852612267629646	0.852612267629646	NA
127	PK	10	34	0.23	15.59	98.186	47.79	31.779	NA	0.36815	0.031085	0.041547562843725	482.833084340622	1.8103904833683	NA	NA	0.266701072932229	ENF	Pinus	Pinaceae	mono_N	1	320.182016006214	320.182016006214	NA	NA	375.5306229599	0.852612267629646	0.852612267629646	NA
127	PK	10	35	0.22	13.28	104.075	20.199	45.814	57.828	0.261725	0.022998	0.0380132711084365	649.872958257713	1.63428296901273	870.82242812112	2.18992073024261	0.39765020536823	ENF	Pinus	Pinaceae	mono_N	1	320.182016006214	320.182016006214	NA	NA	375.5306229599	0.852612267629646	0.852612267629646	NA
127	PK	10	36	0.251	16.45	151.779	58.409	61.745	NA	0.403814	0.052291	0.0494808696922026	673.411521145874	1.79163784186218	NA	NA	0.375863640190781	ENF	Pinus	Pinaceae	mono_N	1	320.182016006214	320.182016006214	NA	NA	375.5306229599	0.852612267629646	0.852612267629646	NA
