sp_code	stand_id	plot	no	age	d	h	Bst	Bbr	Bf	Bcr	wd	Vst	Vst.5	ba	befa.v	befa.st	beft.v	beft.st	bwd	species	PFT	Genus	Family
CJ	38	1	3	42	0.238	16.9	134.942	2.82	1.967	NA	0.444	0.302208	0.291283	0.044488093567485	462.360361075815	1.03547450015562	NA	NA	0.44652027742482	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	1022	1	4	48	0.184	13	79.09	8.696	12.77	NA	0.2775	0.289074	NA	0.026590440219984	347.855566394764	1.27141231508408	NA	NA	0.273597763894366	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	109	6	5	44	0.337	22.2	266.646	46.535	51.502	NA	0.299	0.860297	0.074492	0.0891968840188848	423.903605382792	1.36766724421143	NA	NA	0.309946448726428	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	38	1	1	35	0.119	9.2	28.406	2.848	1.36	NA	0.565	0.049493	0.046304	0.0111220233918713	658.961873396238	1.14813771738365	NA	NA	0.573939749055422	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	1023	1	1	45	0.193	11.5	67.45	17.028	18.735	NA	0.2597	0.260455	NA	0.0292552961883916	396.279587644699	1.53021497405486	NA	NA	0.258969879633718	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	39	5	1	38	0.13	14.1	33.77	1.79	4.307	NA	0.392	0.085993	0.078103	0.0132732289614169	463.607502936286	1.18054486230382	NA	NA	0.392706383077692	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	157	7	2	33	0.155	12.5	42.369	13.736	9.046	14.771	0.315	0.127268	0.073209	0.0188691908756237	511.919728447057	1.53770445372796	627.98189647044	1.8863319880101	0.33291165100418	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	1022	1	5	47	0.271	18	195.83	21.658	40.004	NA	0.2854	0.690022	NA	0.057680426518072	373.164913582465	1.31487514681101	NA	NA	0.283802545426088	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	83	11	2	69	0.378	24.1	526.476	40.345	20.894	106.705	0.375	1.383981	0.827466	0.112220831178881	424.655396280729	1.11631869258998	501.755443174437	1.31899649746617	0.380406956453882	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	38	1	2	38	0.158	11.2	51.286	5.55	7.233	15.908	0.509	0.101025	0.09383	0.0196066797510539	634.189557040337	1.2492493078033	791.655530809206	1.55943142378037	0.507656520663202	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
