model	model_structure	family	response	x	predicted_mean	predicted_median	predicted_sd	pred_q025	pred_q05	pred_q10	pred_q25	pred_q50	pred_q75	pred_q90	pred_q95	pred_q975	is_best_comparison_model
base_k0_gamma	base_k0	gamma	befa.st	0.858003268018039	1.36315797183451	1.36315455854018	0.0103478925687149	1.3429350595792	1.34609058460297	1.34974590547487	1.35613865275449	1.36315455854018	1.37029584355349	1.3763645339889	1.38009503243266	1.38347160185487	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.868374837714961	1.36308261348732	1.36308763502614	0.010373312897927	1.342795334587	1.34594966706816	1.34964468587704	1.35606528829015	1.36308763502614	1.37023935385702	1.37633522764754	1.38006990856134	1.38342711840112	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.878746407411882	1.36301336904271	1.36302752556435	0.0103971369778201	1.34262045974163	1.34585258234203	1.34953677961843	1.35598045753512	1.36302752556435	1.37018213431209	1.37629341636062	1.38004313652887	1.3833981936689	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.889117977108803	1.36294973654821	1.3629790920209	0.0104194543982545	1.34247963652275	1.34577361856703	1.34945457389596	1.35588201291977	1.3629790920209	1.37013995761003	1.37624795550573	1.38001110891533	1.38337552067049	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.899489546805724	1.36289125574567	1.36292955992706	0.0104403511772546	1.34243630410015	1.34565419008587	1.3493928623387	1.35582460116027	1.36292955992706	1.37008534673793	1.37620835596654	1.37998328459694	1.38335641346598	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.909861116502645	1.36283750456794	1.36288379935302	0.010459909679878	1.34232939570194	1.34559821962862	1.34929742739272	1.35575591761799	1.36288379935302	1.37005350942917	1.3761738877252	1.37995738745314	1.38333965748736	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.920232686199567	1.36278809593313	1.36284078035265	0.0104782085838475	1.34221524075874	1.34552148098883	1.3492000938519	1.3556880433581	1.36284078035265	1.37002234478747	1.37614403632207	1.37992148990612	1.38332292519485	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.930604255896488	1.36274267481119	1.36279926916737	0.0104953228834827	1.34212233737858	1.34542896486048	1.34911292384837	1.35562992460358	1.36279926916737	1.36998950536354	1.37612574582556	1.37989004903697	1.3833079232044	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.940975825593409	1.36270091553919	1.36276389033707	0.0105113239247283	1.3420600598112	1.34536143650108	1.34904993313698	1.35558746929441	1.36276389033707	1.36996008789893	1.37610819049399	1.3798703813437	1.38329455487062	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.95134739529033	1.36266251936402	1.36273427144628	0.0105262794651696	1.34198340503501	1.34530234077492	1.34897991091164	1.35554675097215	1.36273427144628	1.36994826146462	1.37609731049062	1.37986533845828	1.38328506122605	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.961718964987252	1.36262721219306	1.36270166806932	0.0105402537538537	1.34190428565833	1.34526915622977	1.34891404401496	1.35550102493372	1.36270166806932	1.36991028881636	1.3760789573494	1.37985888575819	1.38327918711085	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.972090534684173	1.36259474253505	1.36267543779041	0.0105533076265406	1.34181864659995	1.34520615543087	1.34885231241792	1.35545420739172	1.36267543779041	1.36989430045901	1.37606393528696	1.37984497020016	1.38327377624629	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.982462104381094	1.36256487961483	1.36265150871792	0.0105654986126945	1.34171951220782	1.34513511316135	1.34879852350084	1.35541459432299	1.36265150871792	1.36987488135939	1.37605196691741	1.37983191427169	1.38326863555703	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.992833674078015	1.36253741164711	1.36262952199967	0.0105768810511116	1.34164465814903	1.34506949159074	1.34875709028244	1.35536832929177	1.36262952199967	1.36985891078042	1.3760408581752	1.37982297967054	1.38325684389448	FALSE
base_k0_gamma	base_k0	gamma	befa.st	1.00320524377494	1.36251214425578	1.36261048870883	0.0105875062115917	1.34159507493315	1.34501715939932	1.34871436134008	1.35533508688917	1.36261048870883	1.3698506251735	1.37603077275824	1.37980469798083	1.38323966628949	FALSE
base_k0_gamma	base_k0	gamma	befa.st	1.01357681347186	1.36248889902622	1.3625947375694	0.0105974224204866	1.34153992198554	1.34497330774259	1.34867619416494	1.35530704748115	1.3625947375694	1.36984339931206	1.37602200393076	1.3797837403993	1.38323003213664	FALSE
base_k0_gamma	base_k0	gamma	befa.st	1.02394838316878	1.36246751217947	1.36257843247704	0.0106066751883328	1.34148931133876	1.34491382730792	1.34865227785432	1.35527863227237	1.36257843247704	1.36981007241023	1.37601364526833	1.37977993475981	1.38322407743494	FALSE
base_k0_gamma	base_k0	gamma	befa.st	1.0343199528657	1.36244783335768	1.36256353337683	0.0106153073380893	1.34147265441931	1.34488614003125	1.34862956930297	1.35525170242202	1.36256353337683	1.36978273035693	1.37600461739963	1.3797515564215	1.38321869959158	FALSE
base_k0_gamma	base_k0	gamma	befr.st	0.00753455287049989	0.58095665253662	0.571909350314598	0.0517478414226882	0.505697757776961	0.514894898600889	0.525313281228492	0.545645126429284	0.571909350314598	0.605756505485107	0.647149594931992	0.677908605000027	0.712409655520312	FALSE
